FFEBRUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,2/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
WK,0,Phx,104,0,131,927,"2,273",231,126,93,31,"3,792","75,835","2,111.9","42,238.0",1.8," 3,970 ",-4.5%,,,,,,,,,,,,,,,,,,,,,,
WK,1,Phx,9,0,8,115,239,33,12,9,2,416,"8,357",557.9,"11,158.0",0.7, 484 ,-14.0%,,,,,,,,,,,,,,,,,,,,,,
WK,1,Tem,1,0,1,16,20,4,2,1,0,44,860,28.6,572.0,1.5, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
WK,3,Avo,21,0,11,62,86,12,9,8,1,201,"4,024",305.9,"6,118.0",0.7, 217 ,-7.4%,,,,,,,,,,,,,,,,,,,,,,
WK,3,Phx,222,0,171,"1,498","2,915",294,151,94,29,"5,251","105,034","1,999.1","39,981.2",2.6," 4,961 ",5.8%,,,,,,,,,,,,,,,,,,,,,,
WK,3,Tol,25,0,15,92,133,16,9,10,1,290,"5,780",216.1,"4,322.0",1.3, 274 ,5.8%,,,,,,,,,,,,,,,,,,,,,,
WK,7,Phx,166,0,142,"1,145","2,112",241,125,100,42,"3,931","78,606","2,736.0","54,720.0",1.4," 4,010 ",-2.0%,,,,,,,,,,,,,,,,,,,,,,
WK,8,Phx,50,0,60,473,"1,089",140,53,40,22,"1,865","37,300","1,333.1","26,662.0",1.4," 1,998 ",-6.7%,,,,,,,,,,,,,,,,,,,,,,
WK,10,Phx,18,0,20,118,318,37,22,9,5,533,"10,664",336.1,"6,722.0",1.6, 664 ,-19.7%,,,,,,,,,,,,,,,,,,,,,,
WK,12,Phx,38,0,37,304,703,70,61,25,8,"1,213","24,269",899.3,"17,986.0",1.3," 1,142 ",6.2%,,,,,,,,,,,,,,,,,,,,,,
WK,13,Phx,71,0,36,402,647,104,29,35,7,"1,289","25,776",997.7,"19,954.0",1.3," 1,320 ",-2.3%,,,,,,,,,,,,,,,,,,,,,,
WK,15,Phx,26,0,28,228,542,58,39,24,10,921,"18,421",530.4,"10,608.0",1.7, 916 ,0.5%,,,,,,,,,,,,,,,,,,,,,,
WK,16,Phx,150,0,132,996,"1,884",238,120,83,26,"3,520","70,401","2,257.1","45,142.0",1.6," 3,731 ",-5.7%,,,,,,,,,,,,,,,,,,,,,,
WK,17,Avo,17,0,10,36,36,7,6,6,1,112,"2,212",239.3,"4,786.0",0.5, 147 ,-23.8%,,,,,,,,,,,,,,,,,,,,,,
WK,17,Gdy,12,0,5,24,30,4,4,5,1,79,"1,586",179.4,"3,588.0",0.4, 103 ,-23.3%,,,,,,,,,,,,,,,,,,,,,,
WK,17,Phx,293,0,215,"1,422","3,000",280,187,100,26,"5,397","107,931","2,385.9","47,718.0",2.3," 6,231 ",-13.4%,,,,,,,,,,,,,,,,,,,,,,
WK,17,Sct,27,0,21,86,131,20,13,9,2,298,"5,973",273.3,"5,466.0",1.1, 322 ,-7.5%,,,,,,,,,,,,,,,,,,,,,,
WK,17,Tol,11,0,4,39,47,5,5,4,1,111,"2,227",85.2,"1,704.0",1.3, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
WK,19,Phx,279,0,262,"1,905","3,868",443,247,152,51,"7,004","140,080","3,351.7","67,034.6",2.1," 7,251 ",-3.4%,,,,,,,,,,,,,,,,,,,,,,
WK,27,Phx,157,0,114,918,"1,673",165,103,62,18,"3,130","62,596","1,864.8","37,296.0",1.7," 3,887 ",-19.5%,,,,,,,,,,,,,,,,,,,,,,
WK,28,Phx†,25,0,17,120,243,24,24,11,2,453,"9,048",549.0,"10,980.0",0.8, 199 ,127.6%,,,,,,,,,,,,,,,,,,,,,,
WK,29,Phx,342,0,353,"1,798","4,680",448,227,116,36,"7,848","156,929","2,820.8","56,416.0",2.8," 8,342 ",-5.9%,,,,,,,,,,,,,,,,,,,,,,
WK,29,Sct,32,0,32,105,155,21,11,8,2,356,"7,111",447.9,"8,957.9",0.8, 371 ,-4.0%,,,,,,,,,,,,,,,,,,,,,,
WK,30,Mes,55,0,42,286,543,40,43,37,5,"1,009","20,158","1,073.8","21,476.0",0.9," 1,074 ",-6.1%,,,,,,,,,,,,,,,,,,,,,,
WK,30,Phx,18,0,9,107,170,38,10,8,2,352,"7,004",493.1,"9,862.0",0.7, 378 ,-6.9%,,,,,,,,,,,,,,,,,,,,,,
WK,30,Tem,31,0,16,153,285,48,18,12,3,551,"11,008",453.3,"9,066.0",1.2, 569 ,-3.2%,,,,,,,,,,,,,,,,,,,,,,
WK,32,Phx,47,0,75,483,"1,271",90,55,31,13,"2,021","40,406","1,118.3","22,366.0",1.8," 2,151 ",-6.0%,,,,,,,,,,,,,,,,,,,,,,
WK,32,Tem,6,0,4,35,53,8,4,4,0,110,"2,203",72.7,"1,454.0",1.5, 80 ,37.5%,,,,,,,,,,,,,,,,,,,,,,
WK,35,Phx,261,0,310,"1,323","2,850",237,171,109,29,"5,152","103,037","2,727.0","54,540.0",1.9," 5,579 ",-7.7%,,,,,,,,,,,,,,,,,,,,,,
WK,39,Phx,17,0,17,64,97,21,6,6,1,222,"4,436",599.1,"11,982.0",0.4, 235 ,-5.5%,,,,,,,,,,,,,,,,,,,,,,
WK,40,Mes,66,0,56,336,732,45,39,73,15,"1,274","25,490","1,425.4","28,508.0",0.9," 1,601 ",-20.4%,,,,,,,,,,,,,,,,,,,,,,
