JANUARY 2020 MONTHLY RIDERSHIP REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,ROUTE,CITY,Avg Full Fare,Avg Exp Fare,Avg Reduced Fare,Avg Full Fare Pass,Avg Reduced Pass,Avg Monthly Pass,Avg Free,Avg Bikes,Avg W/C, Avg Daily Boardings, Total Boardings ,Daily Revenue Miles,Total Rev. Miles,Boardings Per Rev Mile,1/19 - Avg Daily,% Difference,,,,,,,,,,,,,,,,,,,,,,
WK,0,Phx,94,0,131,943,"2,164",233,135,94,34,"3,700","81,378","2,111.9","46,461.8",1.8," 3,848 ",-3.8%,,,,,,,,,,,,,,,,,,,,,,
WK,1,Phx,11,0,9,133,270,41,16,11,3,480,"10,561",557.9,"12,273.8",0.9, 498 ,-3.6%,,,,,,,,,,,,,,,,,,,,,,
WK,1,Tem,1,0,1,14,17,2,1,2,0,36,781,28.6,629.2,1.3, *November 2020 ,*November 2020,,,,,,,,,,,,,,,,,,,,,,
WK,3,Avo,19,0,12,61,89,14,12,8,1,207,"4,563",305.9,"6,729.8",0.7, 209 ,-1.0%,,,,,,,,,,,,,,,,,,,,,,
WK,3,Phx,170,0,134,"1,324","2,468",255,153,79,24,"4,504","99,087","1,999.1","43,979.3",2.3," 5,064 ",-11.1%,,,,,,,,,,,,,,,,,,,,,,
WK,3,Tol,18,0,12,69,100,16,11,10,1,226,"4,949",216.1,"4,754.2",1.0, 322 ,-29.8%,,,,,,,,,,,,,,,,,,,,,,
WK,7,Phx,160,0,140,"1,121","2,037",235,134,89,40,"3,827","84,173","2,736.0","60,192.0",1.4," 4,125 ",-7.2%,,,,,,,,,,,,,,,,,,,,,,
WK,8,Phx,48,0,62,463,"1,030",127,42,40,20,"1,772","38,995","1,333.1","29,328.2",1.3," 2,114 ",-16.2%,,,,,,,,,,,,,,,,,,,,,,
WK,10,Phx,14,0,18,115,256,31,19,9,4,453,"9,959",336.1,"7,394.2",1.3, 709 ,-36.1%,,,,,,,,,,,,,,,,,,,,,,
WK,12,Phx,35,0,63,294,644,72,32,25,6,"1,140","25,052",899.3,"19,784.6",1.3," 1,134 ",0.5%,,,,,,,,,,,,,,,,,,,,,,
WK,13,Phx,67,0,31,358,575,90,36,30,7,"1,157","25,456",997.7,"21,949.4",1.2," 1,251 ",-7.5%,,,,,,,,,,,,,,,,,,,,,,
WK,15,Phx,24,0,31,216,514,60,35,25,13,880,"19,354",530.4,"11,668.8",1.7, 937 ,-6.1%,,,,,,,,,,,,,,,,,,,,,,
WK,16,Phx,138,0,121,958,"1,739",235,111,84,22,"3,302","72,625","2,257.1","49,656.2",1.5," 3,722 ",-11.3%,,,,,,,,,,,,,,,,,,,,,,
WK,17,Avo,15,0,11,34,45,6,7,6,1,118,"2,617",239.3,"5,264.6",0.5, 136 ,-13.2%,,,,,,,,,,,,,,,,,,,,,,
WK,17,Gdy,10,0,5,26,33,3,4,5,1,81,"1,775",179.4,"3,946.8",0.5, 96 ,-15.6%,,,,,,,,,,,,,,,,,,,,,,
