X,Y,OBJECTID,StationId,StationName,Jurisdiction,Type,Image,Image2,Q2015_1,Q2015_2,Q2015_3,Q2015_4,Q2016_1,Q2016_2,Q2106_3,Q2016_4,Q2017_1,Q2017_2,Q2018_1,Oct_Dec_2017,July_Sept_2017,April_June_2018,July_Sept_2018
-112.099731008771,33.5205918539304,1,4,Montebello / 19th Ave,Phoenix,Boardings,https://farm2.staticflickr.com/1497/23984692441_d067610604_o.jpg,,3825,3503,2416,3405,3268,2126,2144,2197,2151,2006,2023,2023,1883,1869,1786
-112.09880709341,33.5095430671203,2,5,19th Avenue / Camelback,Phoenix,Boardings,https://farm6.staticflickr.com/5699/24067295415_ed6193047b_o.jpg,https://farm2.staticflickr.com/1466/23776130020_e413ed5cb6_o.jpg,1901,1773,1280,1935,1951,1936,1979,2018,2059,2000,1996,1996,1956,1810,1781
-112.083336174682,33.5093081689245,3,6,7th Avenue / Camelback,Phoenix,Boardings,https://farm2.staticflickr.com/1534/24041186226_fccc45bb5f_o.jpg,,1059,1017,753,1127,1128,1148,1185,1243,1246,1145,1132,1132,1087,1052,956
-112.07378741844,33.4957540851608,4,9,Indian School / Central Avenue,Phoenix,Boardings,https://farm2.staticflickr.com/1451/23959139152_7ca74f286d_o.jpg,,1674,1530,1049,1574,1673,1646,1575,1617,1638,1528,1532,1532,1378,1407,1266
-112.073785892661,33.5014098853515,5,8,Campbell / Central Avenue,Phoenix,Boardings,https://farm2.staticflickr.com/1636/23439058354_ec23763a2d_o.jpg,,956,806,700,903,933,777,826,932,921,803,906,906,791,691,747
-112.073806872517,33.4868613021321,6,10,Osborne / Central Avenue,Phoenix,Boardings,https://farm6.staticflickr.com/5818/23439058124_72357b77f8_o.jpg,,929,851,555,901,952,971,921,996,967,915,854,854,823,848,756
-112.073771583811,33.481227476293,7,11,Thomas / Central Avenue,Phoenix,Boardings,https://farm6.staticflickr.com/5662/23959139042_87fae4d0f1_o.jpg,,1484,1375,945,1427,1503,1470,1400,1464,1490,1442,1373,1373,1301,1381,1284
-112.073815052099,33.473667056443,8,12,Encanto / Central Avenue,Phoenix,Boardings,https://farm2.staticflickr.com/1448/23439057074_24b218efea_o.jpg,,579,473,317,529,578,553,530,533,575,525,443,443,449,441,404
-112.073820719648,33.4647252356442,9,13,McDowell / Central Avenue,Phoenix,Boardings,https://farm6.staticflickr.com/5781/23984694991_f39fcb4e07_o.jpg,,1778,1611,1142,1728,1797,1757,1714,1676,1736,1725,1151,1151,1191,1116,1419
-111.916881324685,33.4147603692334,10,27,Dorsey / Apache Boulevard,Tempe,Boardings,https://farm2.staticflickr.com/1683/23699462989_0d729e04e3_o.jpg,,886,709,529,829,811,704,735,754,767,676,756,756,704,670,698
-111.908240039912,33.4147258670684,11,28,McClintock / Apache Boulevard,Tempe,Boardings,https://farm2.staticflickr.com/1671/23984693011_ffafdd3e95_o.jpg,,1618,1264,1027,1522,1508,1299,1341,1421,1470,1264,1279,1279,1218,1127,1131
-111.88808677454,33.4148134350923,12,30,Price-101 Freeway / Apache Boulevard,Tempe,Boardings,https://farm6.staticflickr.com/5802/23959140062_4f63774c8b_o.jpg,https://farm2.staticflickr.com/1573/23989217621_90c5fd95a0_o.jpg,1243,877,687,1099,1062,919,905,957,1006,885,942,942,856,800,780
-111.987983136676,33.4481699244174,13,21,44th Street / Washington,Phoenix,Boardings,https://farm6.staticflickr.com/5771/23439060114_4cdce64345_o.jpg,https://farm2.staticflickr.com/1502/23443590524_dc4a06a76c_o.jpg,1993,1812,1244,2058,2016,1964,1869,1899,1949,1896,1832,1832,1716,1800,1788
-112.075308589731,33.5086654010472,14,7,Central Avenue / Camelback,Phoenix,Boardings,https://farm6.staticflickr.com/5746/23699462439_fe035808d3_o.jpg,https://farm6.staticflickr.com/5833/23703988949_475d9c5c4d_o.jpg,1033,870,566,919,941,908,832,921,929,905,911,911,796,809,709
-111.935920525379,33.4261258183162,15,25,Veterans Way / College Avenue,Tempe,Boardings,https://farm2.staticflickr.com/1698/23984693291_904bf2b746_o.jpg,https://farm2.staticflickr.com/1501/23984691361_f01dcb7c59_o.jpg,1916,1522,1363,2008,1825,1479,1707,1759,1690,1472,1654,1654,1544,1329,1445
-111.940680046286,33.4275021337507,16,24,MIll Ave / 3rd Street,Tempe,Boardings,https://farm2.staticflickr.com/1663/23959140552_d199d43e81_o.jpg,,1656,1233,901,1571,1528,1390,1323,1411,1505,1339,1250,1250,1191,1073,997
-111.926903053989,33.4207581730884,17,26,University Drive / Rural Rd,Tempe,Boardings,https://farm2.staticflickr.com/1511/24067296165_4da3114369_o.jpg,,2088,1473,1383,2000,2056,1533,1689,1756,1892,1419,1639,1639,1535,1312,1474
-111.900765828012,33.4147834701956,18,29,Smith-Martin / Apache Boulevard,Tempe,Boardings,https://farm2.staticflickr.com/1556/23959138232_90b3b8aaa9_o.jpg,,470,419,333,509,476,424,430,442,438,402,450,450,441,396,405
-111.870891244229,33.4148508535363,19,31,Sycamore / Main Street,Mesa,Boardings,https://farm6.staticflickr.com/5807/23984692861_d1a95aaafe_o.jpg,https://farm2.staticflickr.com/1650/23989217991_520f376fca_o.jpg,3750,3308,1542,1641,1575,1440,1391,1429,1428,1366,1320,1320,1286,1261,1200
-112.075053325998,33.4519256270734,20,15,Van Buren / 1st Avenue,Phoenix,Boardings,https://farm2.staticflickr.com/1535/23699464749_2bb3559d45_o.jpg,,1432,1155,966,1283,1298,1103,1237,1193,1254,1116,1171,1171,1200,1070,1109
-112.073966654798,33.4519144172446,21,15,Van Buren / Central Avenue,Phoenix,Boardings,https://farm2.staticflickr.com/1535/23699464749_2bb3559d45_o.jpg,,1931,1680,1215,1788,1845,1864,1905,1908,1942,1819,1731,1731,1691,1684,1705
-112.075239896158,33.4477741983472,22,16,Jefferson / 1st Avenue,Phoenix,Boardings,https://farm2.staticflickr.com/1542/24041188816_c1edc50acb_o.jpg,,728,685,458,728,759,734,672,674,696,691,634,634,630,723,602
-112.073927522664,33.4488759878778,23,16,Washington / Central Avenue,Phoenix,Boardings,https://farm2.staticflickr.com/1542/24041188816_c1edc50acb_o.jpg,,1323,921,597,916,975,972,888,908,927,977,878,878,869,929,832
-112.069311297029,33.4462716774751,24,17,3rd Street / Jefferson,Phoenix,Boardings,https://farm6.staticflickr.com/5824/24067297435_38ce4bbafd_o.jpg,,1409,1101,538,827,896,1258,780,657,760,1145,650,650,793,939,758
-112.070620606321,33.4483506229476,25,17,3rd Street / Washington,Phoenix,Boardings,https://farm6.staticflickr.com/5824/24067297435_38ce4bbafd_o.jpg,,629,748,364,475,477,824,551,434,476,841,490,490,599,707,569
-112.057211636116,33.4482490199803,26,18,12th Street / Washington,Phoenix,Boardings,https://farm2.staticflickr.com/1612/23959141212_90b4fd47c5_o.jpg,,391,340,238,386,400,400,376,389,403,391,360,360,354,361,345
-112.055659407477,33.4471994248145,27,18,12th Street / Jefferson,Phoenix,Boardings,https://farm2.staticflickr.com/1612/23959141212_90b4fd47c5_o.jpg,,281,265,189,293,295,291,301,313,312,295,291,291,264,278,267
-112.073838706065,33.4593536931515,28,14,Roosevelt / Central Avenue,Phoenix,Boardings,https://farm6.staticflickr.com/5636/23699464899_987184a45e_o.jpg,,1056,951,656,1016,1014,973,938,952,1035,1098,949,949,931,923,866
-112.029288796535,33.4481911529942,29,19,24th Street / Washington,Phoenix,Boardings,https://farm2.staticflickr.com/1509/23699463719_4dbc1800a8_o.jpg,,544,522,367,550,562,585,562,564,559,543,535,535,554,529,521
-112.02928243755,33.4472274301101,30,19,24th Street / Jefferson,Phoenix,Boardings,https://farm2.staticflickr.com/1509/23699463719_4dbc1800a8_o.jpg,,543,483,349,566,538,496,493,504,478,440,456,456,431,460,420
-111.999886358594,33.4481023520395,31,20,38th Street / Washington,Phoenix,Boardings,https://farm6.staticflickr.com/5783/24067294335_d4aeefc673_o.jpg,https://farm2.staticflickr.com/1447/24071816735_fd6d45a268_o.jpg,917,755,552,878,861,867,834,883,858,830,810,810,751,714,669
-111.946627682264,33.4380630453521,32,23,Center Parkway / Washington,Tempe,Boardings,https://farm6.staticflickr.com/5815/24067296465_5c7b834c53_o.jpg,,326,249,199,314,286,239,246,252,253,244,264,264,230,225,227
-111.956090063468,33.4420029416517,33,22,Priest Drive / Washington,Tempe,Boardings,https://farm6.staticflickr.com/5763/24041187666_d931bf0ba3_o.jpg,,947,843,584,912,876,826,820,858,873,882,974,974,798,979,929
-112.074048149354,33.4593904638524,34,14,Roosevelt / Central Avenue,Phoenix,Boardings,https://farm6.staticflickr.com/5636/23699464899_987184a45e_o.jpg,,1056,951,656,1016,1014,973,938,952,1035,1098,949,949,931,923,866
