X,Y,OBJECTID,StopID,NextRide,Location,Juris,Shelter,Bench,TrashCan,BusBay,BikeRack,WaterFountain,PublicArt,ADA,Bathroom,Lighting,Em_Call,Info_Display,Type_,DateUpdated,Sidewalk,Photo,ATIS_ID,Direction,Long,Lat,Routes
-112.8721859,32.38270689,3116,9730,17112,SR 85 & W 5th St,Ajo,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,No,,,Other,-112.8721859,32.38270689,685
-112.2745569,33.46488252,2845,8639,16726,MCDOWELL RD & 99TH AVE,Avondale,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8583/15877522403_989d39b890_o.jpg,10931,Westbound,-112.2745569,33.46488252,ZOOM  | 17 | ZOOM North
-112.2819505,33.46476077,2846,8641,16727,MCDOWELL RD & 103RD AVE,Avondale,1,1,1,Yes,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7296/16495914241_26b12866ed_o.jpg,10933,Westbound,-112.2819505,33.46476077,17
-112.2912438,33.46457322,2847,8643,16728,MCDOWELL RD & 107TH AVE,Avondale,1,1,1,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7416/15875092594_7b6a0f7738_o.jpg,10935,Westbound,-112.2912438,33.46457322,17
-112.3005012,33.46436386,2848,8645,16729,MCDOWELL RD & 112TH AVE,Avondale,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8569/16309938888_a29aba15d4_o.jpg,10937,Westbound,-112.3005012,33.46436386,17
-112.30734,33.4642285,2849,8647,16730,MCDOWELL RD & AVONDALE RD,Avondale,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,No,https://farm9.staticflickr.com/8647/16311393239_017f36f710_o.jpg,10939,Westbound,-112.30734,33.4642285,17
-112.315912,33.46411131,2850,8649,16731,MCDOWELL RD & 119TH AVE,Avondale,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8608/16310215260_40956569ed_o.jpg,10941,Westbound,-112.315912,33.46411131,17
-112.3358291,33.46436104,2851,8651,10961,MCDOWELL RD & RANCHO SANTA FE,Avondale,1,1,1,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8657/16471654556_108e542137_o.jpg,10943,Westbound,-112.3358291,33.46436104, ZOOM  | 17
-112.3389891,33.46414724,2856,8653,16707,MCDOWELL RD & DYSART RD,Avondale,1,1,1,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm9.staticflickr.com/8637/16497667445_116a3d0138_o.jpg,10945,Eastbound,-112.3389891,33.46414724, ZOOM  | 17
-112.3150048,33.46385577,2857,8650,16709,MCDOWELL RD & 119TH AVE,Avondale,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1.54115E+12,Yes,https://farm8.staticflickr.com/7394/15875107234_20493f8e1a_o.jpg,10942,Eastbound,-112.3150048,33.46385577,17
