X,Y,OBJECTID,Store_Name,Address,City,Zip,Notes,Phone,Local_Fare,Express_Fare,Reduced_Fare,POINT_X,POINT_Y
-112.151805899062,33.4589027069281,1,JAS ARCO,935 N. 43rd Ave.,Phoenix,95009,,(602) 374-6666,"1-Day, 7-Day, 31-Day",,"1-Day, 7-Day, 31-Day",-112.151805899062,33.4589027069281
-112.134286612974,33.509418249823,2,Chevron,3501 W. Camelback Rd.,Phoenix,85019,,(602) 973-8413,1-Day,,1-Day,-112.134286612974,33.509418249823
-112.253397444712,33.5517399676605,3,Stadium Chevron,9031 W. Northern Ave.,Glendale,85305,,(623) 772-1503,1-Day,,1-Day,-112.253397444712,33.5517399676605
-112.012877445357,33.4579670181593,4,VA Market,907 N. 32nd Street,Phoenix,85008,,(602) 275-2776,1-Day,,1-Day,-112.012877445357,33.4579670181593
-111.980097436362,33.3927236408295,5,Food City #152,4727 E. Southern Ave.,Phoenix,85042,,(602) 438-4647,1-Day,,1-Day,-111.980097436362,33.3927236408295
-112.099569764553,33.5761252165139,6,Food Mart,9853 N. 19th Ave.,Phoenix,85021,,(602) 943-2183,1-Day,,1-Day,-112.099569764553,33.5761252165139
-112.18632290232,33.5244443533451,7,Food City,6020 N. 59th Ave.,Glendale,85301,,(623) 939-2024,1-Day,,1-Day,-112.18632290232,33.5244443533451
-111.719044308581,33.436143881105,8,Bashas #51,1122 N. Higley Rd.,Mesa,85205,,(480) 396-8098,1-Day,,1-Day,-111.719044308581,33.436143881105
-112.065241419821,33.4578830912474,9,Shell,922 N. 7th Street,Phoenix,85006,,(602) 254-5986,1-Day,,1-Day,-112.065241419821,33.4578830912474
-112.186408309388,33.5386100449182,10,Glendale Mini Mart,5904 W. Glendale Ave.,Glendale,85301,,(623) 934-9834,1-Day,,1-Day,-112.186408309388,33.5386100449182
-111.771874164425,33.4226539035686,11,ARCO AM/PM,2751 E. University Dr.,Mesa,85213,,(480) 649-3497,1-Day,,1-Day,-111.771874164425,33.4226539035686
-111.909084002161,33.3952372000263,12,ARCO AM/PM,3233 S. McClintock Dr.,Tempe,85282,,(480) 838-4193,1-Day,,1-Day,-111.909084002161,33.3952372000263
-112.099810625409,33.6110579269392,13,Brian's Smoke Shop,1903 W. Thunderbird Rd.,Phoenix,85023,,(602) 439-1933,"1-Day, 7-Day, 15-Day, 31-Day",,"1-Day, 7-Day, 15-Day, 31-Day",-112.099810625409,33.6110579269392
-111.99287876509,33.4656499317124,14,Cork and Bottle,4101 E. McDowell Rd.,Phoenix,85008,,(602) 275-1861,"1-Day, 7-Day, 15-Day",,"1-Day, 7-Day, 15-Day",-111.99287876509,33.4656499317124
-112.004406675526,33.6406737244443,15,ARCO,3610 E. Bell Rd.,Phoenix,85032,,(602) 485-8344,"1-Day, 7-Day, 31-Day",,7-Day,-112.004406675526,33.6406737244443
-112.220491325737,33.4646324073274,16,McDowell Chevron,1515 N. 75th Ave.,Phoenix,85043,,(623) 873-0517,"1-Day, 7-Day",,1-Day,-112.220491325737,33.4646324073274
