X,Y,OBJECTID,NAME,LOCATION,CITY,PUBLIC_OWN,PNR,SHELTERS,BENCHES,TRASH_CANS,BUS_BAYS,TOTAL_BIKE_SPACES,BIKE_LOCKERS,BIKE_RACKS,WATER_FOUNTAIN,PUBLIC_ART,PUBLIC_BATHROOMS,LIGHTING,EMERG_CALL_BUTTON,INFO_DISPLAY_BOARD,FARE_VENDING_MACH,FARE_OUTLET,ON_SITE_SECURITY,ROUTE_1,ROUTE_2,ROUTE_3,ROUTE_4,ROUTE_5,ROUTE_6,ROUTE_7,ROUTE_8,ROUTE_9,ROUTE_10,ROUTE_11,ROUTE_12,Long,Lat,Routes
-111.899707490108,33.2980545631376,1,Chandler Fashion Center Transit Center,Frye Rd and Galleria Way,Chandler,No,No,2,25,2,4,6,0,6,2,No,No,Yes,No,Yes,2,No,No,72,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.89970749,33.29805456,"Light Rail, 30, 40, 96"
-111.870325792351,33.4157124399764,2,Main St and Sycamore Transit Center,Main St and Sycamore ,Mesa,Yes,Yes,11,31,12,7,13,1,12,6,Yes,Yes,Yes,Yes,Yes,6,No,Yes,Light Rail,30,40,96,NA,NA,NA,NA,NA,NA,NA,NA,-111.87032579,33.41571244,"Light Rail, 0, 1, 3, 7, 8, 10, GAL, SR 51 RAPID, I-10 East RAPID, I-10 West RAPID, I-17 RAPID, SME RAPID, 514, 520, 521, 522, 531, 533, 535, 541, 542, 562, 571, 573, 575, DASH "
-111.689104931837,33.3876427665111,3,Superstition Springs Transit Center,Southern Ave and Power Rd,Mesa,No,Yes,4,26,10,9,20,8,12,0,Yes,No,Yes,No,Yes,2,No,No,40,45,61,108,184,533,,,,,,,-111.68910493,33.38764277,"0, 7, 8, 45, 52,  SMW RAPID"
-112.098995611919,33.5196238023215,4,19th Ave and Montebello Transit Center,19th Ave and Montebello Ave,Phoenix,Yes,Yes,5,10,5,4,4,0,4,4,No,No,Yes,Yes,Yes,5,No,Yes,Light Rail,15,60,,,,,,,,,,-112.09899561,33.5196238,"17, 72, 514"
-112.074293293249,33.4520669587514,6,Central Station,Central Ave and Van Buren St,Phoenix,Yes,No,30,92,26,10,37,22,15,8,Yes,Yes,Yes,Yes,Yes,4,Yes,Yes,Light Rail,0,1,3,7,8,10,571,573,DASH,NA,NA,-112.07429329,33.45206696,"83, 170, 186, 573, 575, POGO"
-112.22864808793,33.479187483139,7,Desert Sky Transit Center,7887 W Thomas Rd,Phoenix,No,No,1,15,4,4,0,0,0,2,Yes,No,Yes,No,Yes,0,No,No,29,75,83,685,MARY,I-10 W RAPID,,,,,,,-112.22864809,33.47918748,"40, 45"
-112.074388260908,33.4070530368125,8,Ed Pastor Transit Center,Central Ave and Broadway Rd,Phoenix,No,No,3,31,18,10,4,0,4,4,Yes,Yes,Yes,No,Yes,0,Yes,Yes,0,7,8,45,52,SME,SMW,,,,,,-112.07438826,33.40705304,"0, 7, 8, 45, 52, SME, SMW"
-112.123383601393,33.5728549426293,9,Metrocenter Transit Center,Mission Ln and Metro Park W,Phoenix,No,Yes,2,31,12,4,8,4,4,2,No,No,Yes,No,Yes,0,Yes,Yes,27,35,90,106,I-17 RAPID,,,,,,,,-112.1233836,33.57285494,"27, 35, 90, 106, I-17 RAPID"
-111.979392220991,33.6047040140661,10,Paradise Valley Mall Transit Center,Tatum Blvd and Paradise Valley Pkwy,Phoenix,Yes,Yes,7,6,5,6,6,6,0,2,No,No,Yes,No,Yes,0,No,No,44,138,,,,,,,,,,,-111.97939222,33.60470401,"44, 138"
-112.068950974918,33.5670674343792,11,Sunnyslope Transit Center,3rd St and Dunlap Ave,Phoenix,Yes,Yes,11,11,10,8,4,4,0,3,Yes,No,Yes,No,Yes,0,Yes,Yes,0,8,12,90,106,SMART,,,,,,,-112.06895097,33.56706744,"0, 8, 12, 90, 106, SMART"
-111.925884376283,33.4654654079288,12,Skysong Transit Center,McDowell Rd and Scottsdale Rd,Scottsdale,Yes,No,3,9,3,2,6,0,6,0,Yes,No,Yes,No,Yes,0,No,No,17,56,72,514,NA,,,,,,,,-111.92588438,33.46546541,"17, 56, 72, 514"
-111.935964860916,33.4258077186339,13,Tempe Transportation Center,5th St and Forest Ave,Tempe,Yes,No,21,44,38,13,13,0,39,4,Yes,Yes,Yes,Yes,Yes,3,Yes,Yes,Light Rail,48,62,65,66,72,ORBIT Jupiter,ORBIT Mercury,ORBIT Venus,ORBIT Earth,ORBIT Mars,FLASH,-111.93596486,33.42580772,"Light Rail, 48, 62, 65, 66, 72, ORBIT Mercury, ORBIT Venus, ORBIT Earth, ORBIT Mars, ORBIT Jupiter, FLASH"
-112.224989362782,33.6431469737507,14,Arrowhead Transit Center,75th Ave & Bell Rd,Glendale,No,No,1,5,4,1,8,0,8,0,Yes,No,Yes,No,Yes,0,No,No,83,170,186,573,575,POGO,,,,,,,-112.22498936,33.64314697,"83, 170, 186, 573, 575, POGO"
-111.886173306745,33.5781019122367,15,Mustang Transit Center,Scottsdale Fiest Shopping Center,Scottsdale,Yes,No,4,4,2,2,,0,2,0,No,No,Yes,Yes,Yes,0,No,No,80,81,514,MLHD,MSTG,,,,,,,,-111.88617331,33.57810191,"80, 81, 514, MLHD, MSTG"
-111.790936831859,33.4150002716101,16,Gilbert Rd/Main St Transit Center,Gilbert Rd and Main St,Mesa,Yes,Yes,0,,,,,,,,,,,,,,,,40,45,,,,,,,,,,,-111.79093683,33.41500027,"40, 45"
