,StopID,NextRide,Location,Juris,Type_,Direction,Routes,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
0,5182.0,16020.0,MESA DR & MAIN ST,Mesa,Standard,Southbound,120,315 E MAIN ST,Globe,AZ,85201.0,7411.0
1,2982.0,16001.0,MESA DR & MAIN ST,Mesa,LINK,Northbound,120,410 E MAIN ST,Mesa,AZ,85203.0,8739.0
2,4681.0,16016.0,MESA DR & 6TH ST,Mesa,Standard,Southbound,120,520 N MESA DR,Globe,AZ,85201.0,5958.0
3,4682.0,16017.0,MESA DR & UNIVERSITY DR,Mesa,Standard,Southbound,120,310 N MESA DR,Globe,AZ,85201.0,6726.0
4,4679.0,16019.0,MESA DR & 1ST ST,Mesa,Standard,Southbound,120,307 E 1ST ST,Globe,AZ,85201.0,6707.0
5,5179.0,16021.0,MESA DR & 2ND AVE,Mesa,Standard,Southbound,120,210 S MESA DR,Apache Junction,AZ,85210.0,1606.0
6,5180.0,16022.0,MESA DR & BROADWAY RD,Mesa,Standard,Southbound,120,361 E BROADWAY RD,Apache Junction,AZ,85210.0,1620.0
7,5183.0,16023.0,MESA DR & MARILYN AVE,Mesa,Standard,Southbound,120,640 S MESA DR,Apache Junction,AZ,85210.0,2546.0
8,8025.0,16027.0,COURY AVE & MESA DR,Mesa,Standard,Westbound,120,461 E AUTO CENTER DR,Mesa,AZ,85204.0,6500.0
9,5152.0,15991.0,LEWIS & COURY AVE,Mesa,Standard,Southbound,120,1840 S LEWIS,Apache Junction,AZ,85210.0,6234.0
10,438.0,15992.0,JAVALINA AVE & LEWIS,Mesa,Standard,Eastbound,120,227 E JAVELINA AVE,Apache Junction,AZ,85210.0,6200.0
11,3438.0,15993.0,MESA DR & COURY AVE,Mesa,Standard,Northbound,120,461 E AUTO CENTER DR,Mesa,AZ,85204.0,6500.0
12,3442.0,15998.0,MESA DR & FRANKLIN AVE,Mesa,Standard,Northbound,120,701 S MESA DR,Apache Junction,AZ,85210.0,2545.0
13,3441.0,15999.0,MESA DR & BROADWAY RD,Mesa,Standard,Northbound,120,434 E BROADWAY RD,Mesa,AZ,85204.0,2020.0
14,3440.0,16000.0,MESA DR & 2ND AVE,Mesa,Standard,Northbound,120,144 S MESA DR,Apache Junction,AZ,85210.0,1474.0
15,2979.0,16002.0,MESA DR & 1ST ST,Mesa,Standard,Northbound,120,402 E 1ST ST,Mesa,AZ,85203.0,8710.0
16,4678.0,16003.0,MESA DR & 2ND ST,Mesa,Standard,Northbound,120,207 N MESA DR,Globe,AZ,85201.0,6723.0
17,2983.0,16004.0,MESA DR & UNIVERSITY DR,Mesa,Standard,Northbound,120,412 E UNIVERSITY DR,Mesa,AZ,85203.0,7924.0
18,2980.0,16006.0,MESA DR & 6TH ST,Mesa,Standard,Northbound,120,629 N MESA DR,Globe,AZ,85201.0,5111.0
19,2981.0,16007.0,MESA DR & 8TH ST,Mesa,Standard,Northbound,120,843 N MESA DR,Globe,AZ,85201.0,4301.0
20,2978.0,16008.0,MESA DR & 10TH ST,Mesa,Standard,Northbound,120,406 E 10TH ST,Mesa,AZ,85203.0,4728.0
21,5500.0,16009.0,BROWN RD & MESA DR,Mesa,Standard,Westbound,120,352 E BROWN RD,Globe,AZ,85201.0,3506.0
22,5505.0,16012.0,PASADENA & CENTER ST,Mesa,Standard,Westbound,120,132 E BROWN RD,Globe,AZ,85201.0,3500.0
23,4499.0,16013.0,CENTER ST & BROWN ST,Mesa,Standard,Southbound,120 | BUZZ,35 W BROWN RD,Globe,AZ,85201.0,3428.0
24,4492.0,16510.0,CENTER ST & 8TH PL,Mesa,Standard,Southbound,120 | BUZZ,860 N CENTER ST,Globe,AZ,85201.0,4201.0
25,7619.0,16105.0,JUNE ST & LAZONA DR,Mesa,Standard,Westbound,128,1415 E MCKELLIPS RD,Mesa,AZ,85203.0,2723.0
26,5710.0,16106.0,LAZONA DR & STAPLEY DR,Mesa,Standard,Westbound,128,1825 N STAPLEY DR,Mesa,AZ,85203.0,2628.0
27,4798.0,16107.0,STAPLEY DR & JENSEN ST,Mesa,Standard,Southbound,128,1761 N PARSELL CIR,Mesa,AZ,85203.0,3703.0
28,4791.0,16108.0,STAPLEY DR & MCLELLAN RD,Mesa,Standard,Southbound,128,1730 N STAPLEY DR,Mesa,AZ,85203.0,2603.0
29,4797.0,16109.0,STAPLEY DR & HALIFAX ST,Mesa,Standard,Southbound,128,1165 E HALIFAX ST,Mesa,AZ,85203.0,3724.0
30,4795.0,16110.0,STAPLEY DR & BROWN RD,Mesa,Standard,Southbound,128,1215 E BROWN RD,Mesa,AZ,85203.0,5046.0
31,4796.0,16111.0,STAPLEY DR & FAIRFIELD ST,Mesa,Standard,Southbound,128,1010 N STAPLEY DR,Mesa,AZ,85203.0,4900.0
32,4794.0,16112.0,STAPLEY DR & 8TH PL,Mesa,Standard,Southbound,128,1160 E 8TH ST,Mesa,AZ,85203.0,6418.0
33,4793.0,16113.0,STAPLEY DR & 6TH ST,Mesa,Standard,Southbound,128,546 N STAPLEY DR,Mesa,AZ,85203.0,7204.0
34,4799.0,16114.0,STAPLEY DR & UNIVERSITY DR,Mesa,Standard,Southbound,128,357 N STAPLEY DR,Mesa,AZ,85203.0,8030.0
35,4792.0,16889.0,STAPLEY DR & 2ND ST,Mesa,Standard,Southbound,128,150 N STAPLEY DR,Mesa,AZ,85203.0,8862.0
36,5303.0,16116.0,STAPLEY DR & MAIN ST,Mesa,Standard,Southbound,128,1205 E MAIN ST,Mesa,AZ,85203.0,8905.0
37,5296.0,16117.0,STAPLEY DR & JARVIS AVE,Mesa,Standard,Southbound,128,1164 E NIELSON AVE,Mesa,AZ,85204.0,2123.0
38,5299.0,16118.0,STAPLEY DR & BROADWAY RD,Mesa,Standard,Southbound,128,414 S STAPLEY DR,Mesa,AZ,85204.0,2613.0
39,5297.0,16119.0,STAPLEY DR & 6TH AVE,Mesa,Standard,Southbound,128,610 S STAPLEY DR,Mesa,AZ,85204.0,3407.0
40,5298.0,16120.0,STAPLEY DR & 8TH AVE,Mesa,Standard,Southbound,128,810 S STAPLEY DR,Mesa,AZ,85204.0,4243.0
41,5300.0,16121.0,STAPLEY DR & EMERALD AVE,Mesa,Standard,Southbound,128,1012 S STAPLEY DR,Mesa,AZ,85204.0,4270.0
42,5304.0,16122.0,STAPLEY DR & SOUTHERN AVE,Mesa,Standard,Southbound,128,1159 E SOUTHERN AVE,Mesa,AZ,85204.0,5011.0
43,5301.0,16123.0,STAPLEY DR & HARMONY AVE,Mesa,Standard,Southbound,128,1464 S STAPLEY DR,Mesa,AZ,85204.0,5853.0
44,8101.0,16084.0,INVERNESS AVE & STAPLEY DR,Mesa,Standard,Westbound,128,1664 S STAPLEY DR,Mesa,AZ,85204.0,6661.0
45,9467.0,16544.0,STAPLEY DR & BASELINE RD,Mesa,Standard,Northbound,128,1945 S STAPLEY DR,Mesa,AZ,85204.0,6615.0
46,3103.0,16086.0,STAPLEY DR & INVERNESS AVE,Mesa,Standard,Northbound,128,1705 S STAPLEY DR,Mesa,AZ,85204.0,6611.0
47,3558.0,16087.0,STAPLEY DR & HILTON AVE,Mesa,Standard,Northbound,128,1209 E HARMONY CIR,Mesa,AZ,85204.0,5963.0
48,3560.0,16088.0,STAPLEY DR & SOUTHERN AVE,Mesa,Standard,Northbound,128,1210 E SOUTHERN AVE,Mesa,AZ,85204.0,5144.0
49,2888.0,16209.0,GILBERT RD & ENCANTO ST,Mesa,Standard,Northbound,136,2008 E ENCANTO ST,Mesa,AZ,85213.0,5912.0
50,2886.0,16207.0,GILBERT RD & DECATUR ST,Mesa,Standard,Northbound,136,633 N GILBERT RD,Mesa,AZ,85203.0,6629.0
51,3105.0,16094.0,STAPLEY DR & MAIN ST,Mesa,Standard,Northbound,128,1210 E MAIN ST,Mesa,AZ,85203.0,8906.0
52,3361.0,16201.0,GILBERT RD & BROADWAY RD,Mesa,Standard,Northbound,136,363 S GILBERT RD,Mesa,AZ,85204.0,2454.0
53,4596.0,16261.0,GILBERT RD & 8TH ST,Mesa,Standard,Southbound,136,1961 E 8TH ST,Mesa,AZ,85203.0,6609.0
54,9370.0,16469.0,N POWER RD & E MCDOWELL RD,Mesa,Standard,Northbound,184,2807 N POWER RD,Scottsdale,AZ,85215.0,1728.0
55,3027.0,16741.0,POWER RD & BROWN RD,Mesa,Standard,Northbound,184,1229 N POWER RD,Mesa,AZ,85205.0,4901.0
56,9146.0,18270.0,N GILBERT RD & E HERMOSA VISTA,Mesa,Standard,Northbound,136,2407 N KACHINA,Mesa,AZ,85203.0,1339.0
57,8886.0,16749.0,Power Rd & Decatur St,Mesa,Standard,Southbound,184,548 N POWER RD,Mesa,AZ,85205.0,7612.0
58,3025.0,16740.0,POWER RD & ENSENADA ST,Mesa,Standard,Northbound,184,1001 N POWER RD,Mesa,AZ,85205.0,5701.0
59,8887.0,16748.0,Power RD & Ensenada St,Mesa,Standard,Southbound,184,6755 E ENSENADA ST,Mesa,AZ,85205.0,6054.0
60,4610.0,16264.0,GILBERT RD & UNIVERSITY DR,Mesa,Standard,Southbound,136,1961 E UNIVERSITY DR,Mesa,AZ,85203.0,8233.0
61,5093.0,16271.0,GILBERT RD & EMERALD AVE,Mesa,Standard,Southbound,136,1011 S KACHINA,Mesa,AZ,85204.0,5207.0
62,5091.0,16268.0,GILBERT RD & BROADWAY RD,Mesa,Standard,Southbound,136,424 S GILBERT RD,Mesa,AZ,85204.0,2805.0
63,3481.0,12584.0,POWER RD & SOUTHERN AVE,Mesa,Standard,Northbound,40 | 45 | 184,6902 E SOUTHERN AVE,Mesa,AZ,85209.0,2644.0
64,3106.0,16102.0,STAPLEY DR & MCLELLAN RD,Mesa,Standard,Northbound,128,1614 N ALLEN,Mesa,AZ,85203.0,3302.0
65,3031.0,12129.0,POWER RD & MAIN ST,Mesa,Standard,Northbound,30 | 184,6810 E MAIN ST,Mesa,AZ,85207.0,8208.0
66,8878.0,16735.0,Power Rd & Warner Rd,Mesa,Standard,Northbound,184,4353 S POWER RD,Mesa,AZ,85212.0,3620.0
67,3363.0,16197.0,GILBERT RD & HAMPTON AVE,Mesa,Standard,Northbound,136,1365 S GILBERT RD,Mesa,AZ,85204.0,6003.0
68,2898.0,16205.0,MAIN ST & UNIVERSITY DR,Mesa,Standard,Northbound,136,225 N GILBERT RD,Mesa,AZ,85203.0,8263.0
69,4608.0,16239.0,GILBERT RD & MCKELLIPS RD,Mesa,Standard,Southbound,136,1950 N GILBERT RD,Mesa,AZ,85203.0,2807.0
70,3474.0,12585.0,POWER RD & VIA ROSSMOOR BLVD,Mesa,Standard,Northbound,40 | 45 | 184,801 S POWER RD,Mesa,AZ,85206.0,5207.0
71,5216.0,12577.0,POWER RD & BROADWAY RD,Mesa,Standard,Southbound,40 | 45 | 184,400 S POWER RD,Mesa,AZ,85206.0,5203.0
