Column1,X,Y,StopID,Location,Juris,Type_,Long,Lat,State,Zipcode,City,StreetAddress,AUTO_UNIQUE_ID_2020-07-28_czc5230_bus_4,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
4500,-112.0994721,33.58265442,2033,19TH AVE & PEORIA AVE,Phoenix,,-112.0994721,33.58265442,AZ, , , ,1,1,265.6239,,AggieReverseGeocoder,,4.01,15913044A,1826 W PEORIA AVE,Glendale,AZ,85029,5038
4501,-112.0995322,33.63822299,2034,19TH AVE & PHELPS RD,Phoenix,,-112.0995322,33.63822299,AZ, , , ,2,1,578.1307,,AggieReverseGeocoder,,4.01,20813954,1825 W BELL RD,Phoenix,AZ,85023,3415
4502,-112.0997083,33.67699598,2035,19TH AVE & ROSE GARDEN LN,Phoenix,,-112.0997083,33.67699598,AZ, , , ,3,1,343.7516,,AggieReverseGeocoder,,4.01,20925001A,21111 N 19TH AVE,Cave Creek,AZ,85027,2708
4503,-112.099586,33.528004,2036,19TH AVE & ROSE LN,Phoenix,,-112.099586,33.528004,AZ, , , ,4,1,671.8829,,AggieReverseGeocoder,,4.01,15618342B,1825 W MARLETTE AVE,Paradise Valley,AZ,85015,2039
4504,-112.0994802,33.59335709,2037,19TH AVE & SUNNYSIDE DR,Phoenix,,-112.0994802,33.59335709,AZ, , , ,5,1,265.6271,,AggieReverseGeocoder,,4.01,15904003D,11801 N 19TH AVE,Glendale,AZ,85029,3541
4505,-112.0997827,33.48098953,2038,19TH AVE & THOMAS RD,Phoenix,,-112.0997827,33.48098953,AZ, , , ,6,1,281.2481,,AggieReverseGeocoder,,4.01,11033076,1840 W THOMAS RD,Paradise Valley,AZ,85015,6108
4506,-112.0995076,33.6117976,2039,19TH AVE & THUNDERBIRD RD,Phoenix,,-112.0995076,33.6117976,AZ, , , ,7,1,265.6257,,AggieReverseGeocoder,,4.01,20816001E,13801 N 19TH AVE,Phoenix,AZ,85023,6105
4507,-112.0995479,33.62978002,2040,19TH AVE & TIERRA BUENA LN,Phoenix,,-112.0995479,33.62978002,AZ, , , ,8,1,578.1301,,AggieReverseGeocoder,,4.01,20814814,15818 N 19TH AVE,Phoenix,AZ,85023,4308
4508,-112.0994769,33.53493997,2041,19TH AVE & TUCKEY LN,Phoenix,,-112.0994769,33.53493997,AZ, , , ,9,1,1625.0016,,AggieReverseGeocoder,,4.01,15645007,6619 N 19TH AVE,Paradise Valley,AZ,85015,1631
4509,-112.0995497,33.65515209,2042,19TH AVE & UNION HILLS DR,Phoenix,,-112.0995497,33.65515209,AZ, , , ,10,1,562.4994,,AggieReverseGeocoder,,4.01,20913003G,1850 W UNION HILLS DR,Cave Creek,AZ,85027,5343
