NoName,X,Y,OBJECTID,StopID,NextRide,Location,Juris,DateUpdated,Long,Lat,Routes,Zip,State,Address,AUTO_UNIQUE_ID_2020-07-27_cceni03_filter_bus3001,UpdatedReverseGeocoding,TimeTaken,TransactionId,Source,ErrorMessage,Version,ComputedAPN,ComputedStreetAddress,ComputedCity,ComputedState,ComputedZip,ComputedZipPlus4
4931,-112.090706,33.552798,5040,1523,15032,NORTHERN AVE & 15TH AVE,Phoenix,1.54E+12,-112.090706,33.552798,80,,,,1,1,734.3784,,AggieReverseGeocoder,,4.01,15702034G,1445 W NORTHERN AVE,Phoenix,AZ,85021,7136
4932,-112.095706,33.552799,5041,1524,15031,NORTHERN AVE & 17TH AVE,Phoenix,1.54E+12,-112.095706,33.552799,80,,,,2,1,328.1259,,AggieReverseGeocoder,,4.01,15704064,1645 W NORTHERN AVE,Phoenix,AZ,85021,5463
4933,-112.098985,33.552929,5042,1525,15030,NORTHERN AVE & 19TH AVE,Phoenix,1.54E+12,-112.098985,33.552929,80,,,,3,1,296.86,,AggieReverseGeocoder,,4.01,15704068D,1841 W NORTHERN AVE,Phoenix,AZ,85021,5260
4934,-112.103889,33.552985,5043,1526,15029,NORTHERN AVE & 21ST AVE,Phoenix,1.54E+12,-112.103889,33.552985,80,,,,4,1,1156.2567,,AggieReverseGeocoder,,4.01,15720001,2051 W NORTHERN AVE,Phoenix,AZ,85021,5179
4935,-112.107992,33.552957,5044,1527,15028,NORTHERN AVE & 23RD AVE,Phoenix,1.54E+12,-112.107992,33.552957,80,,,,5,1,359.351,,AggieReverseGeocoder,,4.01,15721001,2247 W NORTHERN AVE,Phoenix,AZ,85021,4917
4936,-112.116507,33.552998,5045,1528,15026,NORTHERN AVE & 27TH AVE,Phoenix,1.54E+12,-112.116507,33.552998,80,,,,6,1,828.1275,,AggieReverseGeocoder,,4.01,15729002,7835 N 27TH AVE,Glendale,AZ,85051,6675
4937,-112.120794,33.552991,5046,1529,15025,NORTHERN AVE & 29TH AVE,Phoenix,1.54E+12,-112.120794,33.552991,80,,,,7,1,734.3682,,AggieReverseGeocoder,,4.01,15101008,2837 W NORTHERN AVE,Glendale,AZ,85051,6646
4938,-112.124707,33.552999,5047,1530,15024,NORTHERN AVE & 31ST AVE,Phoenix,1.54E+12,-112.124707,33.552999,80,,,,8,1,1062.5655,,AggieReverseGeocoder,,4.01,15102063,3030 W WINTER DR,Glendale,AZ,85051,6688
4939,-112.129499,33.552839,5048,1531,15023,NORTHERN AVE & 33RD AVE,Phoenix,1.54E+12,-112.129499,33.552839,80,,,,9,1,312.4997,,AggieReverseGeocoder,,4.01,15131001,7836 N 32ND DR,Glendale,AZ,85051,6519
4940,-112.1336936,33.55298135,5049,1532,15022,NORTHERN AVE & 35TH AVE,Phoenix,1.54E+12,-112.1336936,33.55298135,80,,,,10,1,1765.6283,,AggieReverseGeocoder,,4.01,15103003B,3449 W NORTHERN AVE,Glendale,AZ,85051,6528
4941,-112.13869,33.552983,5050,1533,15021,NORTHERN AVE & 37TH AVE,Phoenix,1.54E+12,-112.13869,33.552983,80,,,,11,1,453.1225,,AggieReverseGeocoder,,4.01,15104002,3630 W LANE AVE,Glendale,AZ,85051,6446
4942,-112.142718,33.552975,5051,1534,15020,NORTHERN AVE & 39TH AVE,Phoenix,1.54E+12,-112.142718,33.552975,80,,,,12,1,312.5042,,AggieReverseGeocoder,,4.01,15105002,3846 W LANE AVE,Glendale,AZ,85051,6475
4943,-112.0779827,33.55279365,5052,1535,15035,NORTHERN AVE & 3RD AVE,Phoenix,1.54E+12,-112.0779827,33.55279365,80,,,,13,1,609.383,,AggieReverseGeocoder,,4.01,16055056D,150 W NORTHERN AVE,Phoenix,AZ,85021,7225
4944,-112.2207313,33.46524292,5053,1536,18632,SB 75TH AVE FS MCDOWELL RD,Phoenix,1.54E+12,-112.2207313,33.46524292,75,,,,14,1,781.2549,,AggieReverseGeocoder,,4.01,10245013,7525 W MCDOWELL RD,Avondale,AZ,85035,4401
4945,-112.150816,33.553001,5054,1537,15018,NORTHERN AVE & 43RD AVE,Phoenix,1.54E+12,-112.150816,33.553001,80,,,,15,1,718.7536,,AggieReverseGeocoder,,4.01,15106226A,7849 N 43RD AVE,Glendale,AZ,85051,5742
4946,-112.081808,33.552841,5055,1543,15034,NORTHERN AVE & 7TH AVE,Phoenix,1.54E+12,-112.081808,33.552841,80,,,,16,1,593.7535,,AggieReverseGeocoder,,4.01,16042061A,632 W LINGER LN,Phoenix,AZ,85021,7264
4947,-112.111307,33.552798,5056,1544,15027,NORTHERN AVE & I-17 FWY,Phoenix,1.54E+12,-112.111307,33.552798,80,,,,17,1,296.8763,,AggieReverseGeocoder,,4.01,15728004A,2421 W NORTHERN AVE,Phoenix,AZ,85021,4846
4948,-112.146305,33.552999,5057,1546,15019,NORTHERN AVE & 40TH DR,Phoenix,1.54E+12,-112.146305,33.552999,80,,,,18,1,734.3762,,AggieReverseGeocoder,,4.01,15106021,4036 W LANE AVE,Glendale,AZ,85051,5769
