"Column1","X","Y","StopID","Location","Juris","Type_","Long","Lat","State","Zipcode","City","StreetAddress","AUTO_UNIQUE_ID_2020-07-28_smavila1_new_bus_2","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedAPN","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4"
"1000","-111.76174665163201","33.3937618644623","5921.0","SOUTHERN AVE & 32ND ST","Mesa","Standard","-111.76174665163201","33.3937618644623","AZ"," "," "," ",1,"1",3250.0076,"","AggieReverseGeocoder","",4.01,"14046001H","3160 E SOUTHERN AVE","Mesa","AZ","85204","5512"
"1001","-111.77068167773899","33.3937615831352","5953.0","SOUTHERN AVE & ROBIN LN","Mesa","Standard","-111.77068167773899","33.3937615831352","AZ"," "," "," ",2,"1",999.9993,"","AggieReverseGeocoder","",4.01,"14045004","1143 S LINDSAY RD","Mesa","AZ","85204","6298"
"1002","-111.776195169343","33.393730456919606","9439.0","E SOUTHERN AV & LYN RAE SQUARE","Mesa","Standard","-111.776195169343","33.393730456919606","AZ"," "," "," ",3,"1",2593.7554,"","AggieReverseGeocoder","",4.01,"14044126A","2550 E SOUTHERN AVE","Mesa","AZ","85204","5411"
"1003","-111.78050067226499","33.3936990204832","5919.0","SOUTHERN AVE & 24TH ST","Mesa","Standard","-111.78050067226499","33.3936990204832","AZ"," "," "," ",4,"1",859.3312,"","AggieReverseGeocoder","",4.01,"14043387","2341 E FLOSSMOOR CIR","Mesa","AZ","85204","5337"
"1004","-111.784381969107","33.39369007147889","5954.0","SOUTHERN AVE & ROSE","Mesa","Standard","-111.784381969107","33.39369007147889","AZ"," "," "," ",5,"1",875.0007,"","AggieReverseGeocoder","",4.01,"14043521","2211 E FLOSSMOOR AVE","Mesa","AZ","85204","5334"
"1005","-111.78923110999399","33.3937853174412","5940.0","SOUTHERN AVE & GILBERT RD","Mesa","Standard","-111.78923110999399","33.3937853174412","AZ"," "," "," ",6,"1",265.6247,"","AggieReverseGeocoder","",4.01,"13906003P","1956 E SOUTHERN AVE","Mesa","AZ","85204","5265"
"1006","-111.793435982486","33.39361230243229","5941.0","SOUTHERN AVE & HALL","Mesa","Standard","-111.793435982486","33.39361230243229","AZ"," "," "," ",7,"1",859.3764,"","AggieReverseGeocoder","",4.01,"13906001A","1630 E SOUTHERN AVE","Mesa","AZ","85204","5220"
"1007","-111.79730975933902","33.3935730842348","5942.0","SOUTHERN AVE & HARRIS DR","Mesa","Standard","-111.79730975933902","33.3935730842348","AZ"," "," "," ",8,"1",781.2506,"","AggieReverseGeocoder","",4.01,"13905123","1551 E FLOSSMOOR CIR","Mesa","AZ","85204","5148"
"1008","-111.80104240502399","33.3935183811282","5958.0","SOUTHERN AVE & SPUR","Mesa","Standard","-111.80104240502399","33.3935183811282","AZ"," "," "," ",9,"1",562.5018,"","AggieReverseGeocoder","",4.01,"13905010","1156 S SPUR","Mesa","AZ","85204","5133"
"1009","-111.806543015282","33.3935385562326","5960.0","SOUTHERN AVE & STAPLEY DR","Mesa","Standard","-111.806543015282","33.3935385562326","AZ"," "," "," ",10,"1",578.1311,"","AggieReverseGeocoder","",4.01,"13914304A","1159 E SOUTHERN AVE","Mesa","AZ","85204","5011"
"1010","-111.810186911714","33.3934577645015","5957.0","SOUTHERN AVE & SOLOMON","Mesa","Standard","-111.810186911714","33.3934577645015","AZ"," "," "," ",11,"1",562.5005,"","AggieReverseGeocoder","",4.01,"13916008","950 E SOUTHERN AVE","Mesa","AZ","85204","5029"
"1011","-111.814661225087","33.3934684740846","5944.0","SOUTHERN AVE & HORNE","Mesa","Standard","-111.814661225087","33.3934684740846","AZ"," "," "," ",12,"1",1984.3492,"","AggieReverseGeocoder","",4.01,"13928002H","730 E SOUTHERN AVE","Mesa","AZ","85204","4927"
"1012","-111.81907479940901","33.3934444950337","5943.0","SOUTHERN AVE & HOBSON","Mesa","Standard","-111.81907479940901","33.3934444950337","AZ"," "," "," ",13,"1",765.625,"","AggieReverseGeocoder","",4.01,"13929134","544 E SOUTHERN AVE","Mesa","AZ","85204","4935"
"1013","-111.82344748594801","33.3934543867838","5949.0","SOUTHERN AVE & MESA DR","Mesa","Standard","-111.82344748594801","33.3934543867838","AZ"," "," "," ",14,"1",749.9915,"","AggieReverseGeocoder","",4.01,"13931067","350 E SOUTHERN AVE","Apache Junction","AZ","85210","5360"
"1014","-111.828168453903","33.3934340939046","5956.0","SOUTHERN AVE & SIRRINE","Mesa","Standard","-111.828168453903","33.3934340939046","AZ"," "," "," ",15,"1",718.7495,"","AggieReverseGeocoder","",4.01,"13932045B","1146 S SIRRINE","Apache Junction","AZ","85210","8719"
"1015","-111.830995835966","33.3934459480364","6960.0","SOUTHERN AVE & CENTER ST","Mesa","Standard","-111.830995835966","33.3934459480364","AZ"," "," "," ",16,"1",671.8727,"","AggieReverseGeocoder","",4.01,"13932016E","10 W SOUTHERN AVE","Apache Junction","AZ","85210","5207"
"1016","-111.835180325371","33.393425783366105","6969.0","SOUTHERN AVE & MACDONALD","Mesa","Standard","-111.835180325371","33.393425783366105","AZ"," "," "," ",17,"1",703.1249,"","AggieReverseGeocoder","",4.01,"13945064A","144 W SOUTHERN AVE","Apache Junction","AZ","85210","5209"
"1017","-111.840525002434","33.393456862819","6963.0","SOUTHERN AVE & COUNTRY CLUB DR","Mesa","Standard","-111.840525002434","33.393456862819","AZ"," "," "," ",18,"1",593.7501,"","AggieReverseGeocoder","",4.01,"13422001B","1210 S COUNTRY CLUB DR","Apache Junction","AZ","85210","5128"
"1018","-111.849682214068","33.393344669425105","6966.0","SOUTHERN AVE & EXTENSION RD","Mesa","Standard","-111.849682214068","33.393344669425105","AZ"," "," "," ",19,"1",453.1239,"","AggieReverseGeocoder","",4.01,"13419011D","830 W SOUTHERN AVE","Apache Junction","AZ","85210","4937"
"1019","-111.853482549919","33.393288773597305","6976.0","SOUTHERN AVE & WESTWOOD","Mesa","Standard","-111.853482549919","33.393288773597305","AZ"," "," "," ",20,"1",2296.9007,"","AggieReverseGeocoder","",4.01,"13419007D","1110 W SOUTHERN AVE","Apache Junction","AZ","85210","4991"
"1020","-111.85798011100799","33.39325951406","6959.0","SOUTHERN AVE & ALMA SCHOOL RD","Mesa","Standard","-111.85798011100799","33.39325951406","AZ"," "," "," ",21,"1",796.8487,"","AggieReverseGeocoder","",4.01,"13426410E","1220 S ALMA SCHOOL RD","Apache Junction","AZ","85210","2068"
"1021","-111.86080187854799","33.393226371036704","6982.0","SOUTHERN AVE & STEWART","Mesa","Standard","-111.86080187854799","33.393226371036704","AZ"," "," "," ",22,"1",703.1248,"","AggieReverseGeocoder","",4.01,"13428377A","1346 W SOUTHERN AVE","Tempe","AZ","85202","4827"
