"NoName","X","Y","StopID","NextRide","Location","Juris","WaterFountain","ADA","Type_","ATIS_ID","Direction","Long","Lat","Routes","Zip","City","Address","State","AUTO_UNIQUE_ID_2020-07-27_pwewiora08_filter_bus_1000","UpdatedReverseGeocoding","TimeTaken","TransactionId","Source","ErrorMessage","Version","ComputedAPN","ComputedStreetAddress","ComputedCity","ComputedState","ComputedZip","ComputedZipPlus4"
"0","-111.82307599054501","33.4147193304186","5182.0","16020.0","MESA DR & MAIN ST","Mesa","No","No","Standard","5196.0","Southbound","-111.82307599054501","33.4147193304186","120","","","","",1,"1",1500.0053,"","AggieReverseGeocoder","",4.01,"13865023","315 E MAIN ST","Globe","AZ","85201","7411"
"1","-111.822765687811","33.4156843465566","2982.0","16001.0","MESA DR & MAIN ST","Mesa","No","No","LINK","2996.0","Northbound","-111.822765687811","33.4156843465566","120","","","","",2,"1",328.1325,"","AggieReverseGeocoder","",4.01,"13826005","410 E MAIN ST","Mesa","AZ","85203","8739"
"2","-111.822934487577","33.4257343931201","4681.0","16016.0","MESA DR & 6TH ST","Mesa","No","Yes","Standard","4695.0","Southbound","-111.822934487577","33.4257343931201","120","","","","",3,"1",1265.6236,"","AggieReverseGeocoder","",4.01,"13715003D","520 N MESA DR","Globe","AZ","85201","5958"
"3","-111.823047726262","33.422047998516696","4682.0","16017.0","MESA DR & UNIVERSITY DR","Mesa","No","Yes","Standard","4696.0","Southbound","-111.823047726262","33.422047998516696","120","","","","",4,"1",1421.8756,"","AggieReverseGeocoder","",4.01,"13862074B","310 N MESA DR","Globe","AZ","85201","6726"
"4","-111.82306940586099","33.4168833504112","4679.0","16019.0","MESA DR & 1ST ST","Mesa","No","Yes","Standard","4693.0","Southbound","-111.82306940586099","33.4168833504112","120","","","","",5,"1",1453.1049,"","AggieReverseGeocoder","",4.01,"13864035","307 E 1ST ST","Globe","AZ","85201","6707"
"5","-111.823097555623","33.410421331262896","5179.0","16021.0","MESA DR & 2ND AVE","Mesa","No","No","Standard","5193.0","Southbound","-111.823097555623","33.410421331262896","120","","","","",6,"1",1390.6273,"","AggieReverseGeocoder","",4.01,"13847032","210 S MESA DR","Apache Junction","AZ","85210","1606"
"6","-111.823089922458","33.4074277625267","5180.0","16022.0","MESA DR & BROADWAY RD","Mesa","No","Yes","Standard","5194.0","Southbound","-111.823089922458","33.4074277625267","120","","","","",7,"1",1203.1272,"","AggieReverseGeocoder","",4.01,"13936029A","361 E BROADWAY RD","Apache Junction","AZ","85210","1620"
"7","-111.823079297327","33.4031017973098","5183.0","16023.0","MESA DR & MARILYN AVE","Mesa","No","Yes","Standard","5197.0","Southbound","-111.823079297327","33.4031017973098","120","","","","",8,"1",484.3796,"","AggieReverseGeocoder","",4.01,"13935164D","640 S MESA DR","Apache Junction","AZ","85210","2546"
"8","-111.823868566666","33.3824668341569","8025.0","16027.0","COURY AVE & MESA DR","Mesa","No","No","Standard","9811.0","Westbound","-111.823868566666","33.3824668341569","120","","","","",9,"1",1265.6276,"","AggieReverseGeocoder","",4.01,"13912030","461 E AUTO CENTER DR","Mesa","AZ","85204","6500"
"9","-111.828464699819","33.3822251795024","5152.0","15991.0","LEWIS & COURY AVE","Mesa","No","Yes","Standard","5166.0","Southbound","-111.828464699819","33.3822251795024","120","","","","",10,"1",359.3811,"","AggieReverseGeocoder","",4.01,"13949001T","1840 S LEWIS","Apache Junction","AZ","85210","6234"
