,X,Y,StationId,StationName,Jurisdiction,StationStatus,POINT_X,POINT_Y,NextRide,Address,Zipcode,city,street_address
0,-112.100759466,33.5673974970001,1,19th Avenue / Dunlap Avenue,Phoenix,In Operation,-112.0993888,33.56708951,18608,1935 W Dunlap Ave,85021,Phoenix,1923 W DUNLAP AVE
1,-111.830645946,33.4151070880001,35,Center Street / Main Street,Mesa,In Operation,-111.83066039,33.41509754,18602,26 East Main Street,85201,Globe,20 E MAIN ST
2,-112.099628966,33.552071294,2,19th Avenue / Northern Avenue,Phoenix,In Operation,-112.09935953,33.55318964,18607,7832 N 19th Ave,85021,Phoenix,7835 N 19TH AVE
3,-112.099700878,33.537384359,3,19th Avenue / Glendale Avenue,Phoenix,In Operation,-112.09932892,33.53864324,18606,6813 N 19th Ave,85015,Paradise Valley,6808 N 19TH AVE
4,-111.98798313700001,33.4481699240001,21,44th Street / Washington,Phoenix,In Operation,-111.98798314,33.44816993,10018,4203 East Washington Street,85034,Phoenix,4300 E WASHINGTON ST
5,-111.94662768200001,33.438063045,24,Center Parkway / Washington,Tempe,In Operation,-111.94662735,33.4380634,10020,702 West Washington Street,85281,Mesa,350 W WASHINGTON ST
6,-111.999886359,33.448102352,20,38th Street / Washington,Phoenix,In Operation,-111.99988636,33.44810237,10017,3763 East Washington Street,85034,Phoenix,3801 E WASHINGTON ST
7,-111.83907286700001,33.415120339000104,34,Country Club Drive / Main Street,Mesa,In Operation,-111.83903590000001,33.41511499,18601,300 West Main Street,85201,Globe,261 W MAIN ST
8,-111.855565488,33.414941114,33,Alma School Road / Main Street,Mesa,In Operation,-111.85554955,33.41493761,18600,1128 West Main Street,85201,Globe,1120 W MAIN ST
9,-111.95609006299999,33.442002941999995,23,Priest Drive / Washington,Tempe,In Operation,-111.95609026,33.44200283,10019,1166 West Washington Street,85281,Mesa,1158 W WASHINGTON ST
10,-112.07404814899999,33.459390464,14,Roosevelt / Central Avenue,Phoenix,In Operation,-112.07406165,33.45938818,10011,1004 North Central Avenue,85003,Phoenix,101 W PORTLAND ST
11,-112.07530859,33.508665401,7,Central Avenue / Camelback,Phoenix,In Operation,-112.0753075,33.50866627,10004,77 West Camelback Road,85013,Phoenix,42 W MARIPOSA ST
