,StationId,StationName,Jurisdiction,Type,Q2015_1,Q2015_2,Q2015_3,Q2015_4,Q2016_1,Q2016_2,Q2106_3,Q2016_4,Q2017_1,Q2017_2,Q2018_1,Oct_Dec_2017,July_Sept_2017,April_June_2018,July_Sept_2018
0,4,Montebello / 19th Ave,Phoenix,Boardings,3825,3503,2416,3405,3268,2126,2144,2197,2151,2006,2023,2023,1883,1869,1786
1,5,19th Avenue / Camelback,Phoenix,Boardings,1901,1773,1280,1935,1951,1936,1979,2018,2059,2000,1996,1996,1956,1810,1781
2,6,7th Avenue / Camelback,Phoenix,Boardings,1059,1017,753,1127,1128,1148,1185,1243,1246,1145,1132,1132,1087,1052,956
3,9,Indian School / Central Avenue,Phoenix,Boardings,1674,1530,1049,1574,1673,1646,1575,1617,1638,1528,1532,1532,1378,1407,1266
4,8,Campbell / Central Avenue,Phoenix,Boardings,956,806,700,903,933,777,826,932,921,803,906,906,791,691,747
5,10,Osborne / Central Avenue,Phoenix,Boardings,929,851,555,901,952,971,921,996,967,915,854,854,823,848,756
6,11,Thomas / Central Avenue,Phoenix,Boardings,1484,1375,945,1427,1503,1470,1400,1464,1490,1442,1373,1373,1301,1381,1284
7,12,Encanto / Central Avenue,Phoenix,Boardings,579,473,317,529,578,553,530,533,575,525,443,443,449,441,404
8,13,McDowell / Central Avenue,Phoenix,Boardings,1778,1611,1142,1728,1797,1757,1714,1676,1736,1725,1151,1151,1191,1116,1419
9,27,Dorsey / Apache Boulevard,Tempe,Boardings,886,709,529,829,811,704,735,754,767,676,756,756,704,670,698
10,28,McClintock / Apache Boulevard,Tempe,Boardings,1618,1264,1027,1522,1508,1299,1341,1421,1470,1264,1279,1279,1218,1127,1131
11,30,Price-101 Freeway / Apache Boulevard,Tempe,Boardings,1243,877,687,1099,1062,919,905,957,1006,885,942,942,856,800,780
12,21,44th Street / Washington,Phoenix,Boardings,1993,1812,1244,2058,2016,1964,1869,1899,1949,1896,1832,1832,1716,1800,1788
13,7,Central Avenue / Camelback,Phoenix,Boardings,1033,870,566,919,941,908,832,921,929,905,911,911,796,809,709
14,25,Veterans Way / College Avenue,Tempe,Boardings,1916,1522,1363,2008,1825,1479,1707,1759,1690,1472,1654,1654,1544,1329,1445
15,24,MIll Ave / 3rd Street,Tempe,Boardings,1656,1233,901,1571,1528,1390,1323,1411,1505,1339,1250,1250,1191,1073,997
16,26,University Drive / Rural Rd,Tempe,Boardings,2088,1473,1383,2000,2056,1533,1689,1756,1892,1419,1639,1639,1535,1312,1474
17,29,Smith-Martin / Apache Boulevard,Tempe,Boardings,470,419,333,509,476,424,430,442,438,402,450,450,441,396,405
18,31,Sycamore / Main Street,Mesa,Boardings,3750,3308,1542,1641,1575,1440,1391,1429,1428,1366,1320,1320,1286,1261,1200
19,15,Van Buren / 1st Avenue,Phoenix,Boardings,1432,1155,966,1283,1298,1103,1237,1193,1254,1116,1171,1171,1200,1070,1109
20,15,Van Buren / Central Avenue,Phoenix,Boardings,1931,1680,1215,1788,1845,1864,1905,1908,1942,1819,1731,1731,1691,1684,1705
21,16,Jefferson / 1st Avenue,Phoenix,Boardings,728,685,458,728,759,734,672,674,696,691,634,634,630,723,602
22,16,Washington / Central Avenue,Phoenix,Boardings,1323,921,597,916,975,972,888,908,927,977,878,878,869,929,832
23,17,3rd Street / Jefferson,Phoenix,Boardings,1409,1101,538,827,896,1258,780,657,760,1145,650,650,793,939,758
24,17,3rd Street / Washington,Phoenix,Boardings,629,748,364,475,477,824,551,434,476,841,490,490,599,707,569
25,18,12th Street / Washington,Phoenix,Boardings,391,340,238,386,400,400,376,389,403,391,360,360,354,361,345
26,18,12th Street / Jefferson,Phoenix,Boardings,281,265,189,293,295,291,301,313,312,295,291,291,264,278,267
27,14,Roosevelt / Central Avenue,Phoenix,Boardings,1056,951,656,1016,1014,973,938,952,1035,1098,949,949,931,923,866
28,19,24th Street / Washington,Phoenix,Boardings,544,522,367,550,562,585,562,564,559,543,535,535,554,529,521
29,19,24th Street / Jefferson,Phoenix,Boardings,543,483,349,566,538,496,493,504,478,440,456,456,431,460,420
30,20,38th Street / Washington,Phoenix,Boardings,917,755,552,878,861,867,834,883,858,830,810,810,751,714,669
31,23,Center Parkway / Washington,Tempe,Boardings,326,249,199,314,286,239,246,252,253,244,264,264,230,225,227
32,22,Priest Drive / Washington,Tempe,Boardings,947,843,584,912,876,826,820,858,873,882,974,974,798,979,929
33,14,Roosevelt / Central Avenue,Phoenix,Boardings,1056,951,656,1016,1014,973,938,952,1035,1098,949,949,931,923,866
34,32,Main Street/ Alma School Road,Mesa,Boardings,0,0,811,970,1035,1023,1050,1100,1092,1078,1071,1071,1070,1061,1080
35,33,Main Street/ Country Club Drive,Mesa,Boardings,0,0,881,1044,1076,1010,1036,1093,1147,1137,1100,1100,1070,1081,1095
36,34,Main Street/ Center Street,Mesa,Boardings,0,0,414,426,411,385,386,457,447,437,459,459,429,412,419
37,35,Main Street/ Mesa Drive,Mesa,Boardings,0,0,2136,2124,2256,2130,2153,2220,2323,2258,2291,2291,2219,2157,2172
38,1,Dunlap / 19th Ave,Phoenix,Boardings,0,0,0,0,311,2293,2426,2418,2522,2634,2748,2748,2788,2741,2792
39,2,Northern / 19th Ave,Phoenix,Boardings,0,0,0,0,119,927,994,1049,1101,1077,1112,1112,1072,1091,1107
40,3,Glendale / 19th Ave,Phoenix,Boardings,0,0,0,0,148,1200,1322,1379,1398,1313,1410,1410,1308,1369,1313
41,4,Montebello / 19th Ave,Phoenix,Departures,3943,3562,2465,3504,3359,2116,2135,2201,2192,2011,2048,2048,1895,1875,1810
42,5,19th Avenue / Camelback,Phoenix,Departures,1911,1766,1275,1897,1954,1940,1994,2041,2090,2009,2020,2020,1990,1829,1807
43,6,7th Avenue / Camelback,Phoenix,Departures,1108,1053,794,1179,1172,1162,1204,1253,1271,1157,1160,1160,1097,1065,972
44,9,Indian School / Central Avenue,Phoenix,Departures,1574,1451,1004,1520,1593,1575,1532,1559,1582,1466,1504,1504,1340,1343,1247
45,8,Campbell / Central Avenue,Phoenix,Departures,1008,818,730,933,954,769,848,953,937,789,919,919,785,694,760
46,10,Osborne / Central Avenue,Phoenix,Departures,902,815,541,872,912,926,902,960,939,881,819,819,792,820,737
47,11,Thomas / Central Avenue,Phoenix,Departures,1488,1362,934,1416,1486,1457,1400,1475,1498,1425,1366,1366,1289,1372,1275
48,12,Encanto / Central Avenue,Phoenix,Departures,556,449,305,517,553,534,523,521,553,500,432,432,430,426,398
49,13,McDowell / Central Avenue,Phoenix,Departures,1732,1544,1103,1680,1765,1705,1670,1657,1734,1702,1137,1137,1182,1087,1381
50,27,Dorsey / Apache Boulevard,Tempe,Departures,848,680,512,794,778,684,712,729,746,653,723,723,681,637,673
51,28,McClintock / Apache Boulevard,Tempe,Departures,1520,1168,952,1461,1448,1234,1277,1363,1412,1185,1204,1204,1125,1065,1073
52,30,Price-101 Freeway / Apache Boulevard,Tempe,Departures,1196,822,639,1024,1009,862,853,907,967,831,899,899,816,763,748
53,21,44th Street / Washington,Phoenix,Departures,1937,1769,1207,2047,1941,1911,1834,1895,1917,1851,1815,1815,1682,1751,1719
54,7,Central Avenue / Camelback,Phoenix,Departures,1069,892,573,948,955,931,844,931,928,914,919,919,810,807,722
55,25,Veterans Way / College Avenue,Tempe,Departures,2116,1674,1486,2208,1994,1617,1845,1881,1813,1561,1757,1757,1625,1408,1533
56,24,MIll Ave / 3rd Street,Tempe,Departures,1685,1267,927,1659,1489,1411,1364,1447,1473,1346,1258,1258,1210,1052,980
57,26,University Drive / Rural Rd,Tempe,Departures,2041,1403,1337,1935,2020,1464,1621,1681,1840,1351,1577,1577,1463,1248,1406
58,29,Smith-Martin / Apache Boulevard,Tempe,Departures,430,383,316,477,447,391,401,415,401,359,412,412,411,362,373
59,31,Sycamore / Main Street,Mesa,Departures,3920,3395,1574,1632,1596,1431,1390,1422,1430,1348,1315,1315,1277,1249,1196
60,15,Van Buren / 1st Avenue,Phoenix,Departures,1834,1638,1186,1705,1771,1738,1754,1774,1780,1692,1647,1647,1625,1561,1602
61,15,Van Buren / Central Avenue,Phoenix,Departures,1214,969,839,1173,1155,977,1116,1090,1128,938,1013,1013,1007,894,955
62,16,Jefferson / 1st Avenue,Phoenix,Departures,1307,904,595,960,1031,974,906,929,946,928,831,831,783,886,783
63,16,Washington / Central Avenue,Phoenix,Departures,833,704,483,743,760,732,678,689,709,733,680,680,708,774,627
64,17,3rd Street / Jefferson,Phoenix,Departures,720,797,371,487,495,901,596,433,472,841,465,465,614,752,576
65,17,3rd Street / Washington,Phoenix,Departures,1643,1251,604,923,1000,1373,851,726,844,1301,775,775,892,1051,849
66,18,12th Street / Washington,Phoenix,Departures,297,264,191,315,325,297,302,314,328,306,297,297,283,290,278
67,18,12th Street / Jefferson,Phoenix,Departures,366,324,222,350,368,381,369,377,381,369,346,346,336,330,325
68,14,Roosevelt / Central Avenue,Phoenix,Departures,1027,929,638,1013,1006,956,916,928,1012,1062,913,913,876,875,844
69,19,24th Street / Washington,Phoenix,Departures,577,509,371,586,563,527,520,528,508,468,490,490,479,498,467
70,19,24th Street / Jefferson,Phoenix,Departures,469,459,322,513,515,548,533,530,520,497,473,473,475,464,456
71,20,38th Street / Washington,Phoenix,Departures,905,732,541,863,841,838,809,855,817,795,764,764,709,686,648
72,23,Center Parkway / Washington,Tempe,Departures,319,243,193,309,279,236,239,248,254,239,261,261,221,220,223
73,22,Priest Drive / Washington,Tempe,Departures,951,837,583,922,887,837,825,869,880,866,986,986,779,989,944
74,14,Roosevelt / Central Avenue,Phoenix,Departures,1027,929,638,1013,1006,956,916,928,1012,1062,913,913,876,875,844
75,32,Main Street/ Alma School Road,Mesa,Departures,0,0,826,980,1042,1022,1055,1099,1105,1075,1078,1078,1072,1064,1090
76,33,Main Street/ Country Club Drive,Mesa,Departures,0,0,849,992,1015,959,998,1081,1128,1117,1078,1078,1057,1062,1081
77,34,Main Street/ Center Street,Mesa,Departures,0,0,465,471,450,424,419,453,448,432,459,459,421,411,419
78,35,Main Street/ Mesa Drive,Mesa,Departures,0,0,2193,2187,2314,2167,2197,2287,2408,2345,2418,2418,2346,2265,2265
79,1,Dunlap / 19th Ave,Phoenix,Departures,0,0,0,0,324,2350,2467,2486,2570,2667,2836,2836,2841,2808,2866
80,2,Northern / 19th Ave,Phoenix,Departures,0,0,0,0,118,910,984,1022,1074,1067,1093,1093,1078,1065,1109
81,3,Glendale / 19th Ave,Phoenix,Departures,0,0,0,0,144,1151,1279,1345,1368,1261,1382,1382,1280,1340,1290
