,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,Per Capita Income,Population,Poverty Count,Poverty Rate
0,5182.0,MESA DR & MAIN ST,315 E MAIN ST,Globe,85201.0,Mesa,Weekend,7.0,7.0,6.0,4.0,7.0,6.0,8.0,12.0,5.0,10.0,11.0,9.0,8.0,19882.0,51519.0,12469.0,24.202721326112695
1,5182.0,MESA DR & MAIN ST,315 E MAIN ST,Globe,85201.0,Mesa,Weekday,42.0,42.0,44.0,49.0,31.0,31.0,36.0,79.0,38.0,56.0,55.0,48.0,44.0,19882.0,51519.0,12469.0,24.202721326112695
2,2982.0,MESA DR & MAIN ST,410 E MAIN ST,Mesa,85203.0,Mesa,Weekend,7.0,6.0,6.0,4.0,4.0,5.0,6.0,10.0,5.0,9.0,6.0,6.0,7.0,24339.0,39069.0,6481.0,16.588599657017074
3,2982.0,MESA DR & MAIN ST,410 E MAIN ST,Mesa,85203.0,Mesa,Weekday,33.0,33.0,34.0,33.0,21.0,26.0,36.0,76.0,40.0,45.0,36.0,30.0,36.0,24339.0,39069.0,6481.0,16.588599657017074
4,4681.0,MESA DR & 6TH ST,520 N MESA DR,Globe,85201.0,Mesa,Weekend,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
5,4681.0,MESA DR & 6TH ST,520 N MESA DR,Globe,85201.0,Mesa,Weekday,4.0,4.0,4.0,6.0,4.0,5.0,7.0,12.0,5.0,7.0,9.0,6.0,6.0,19882.0,51519.0,12469.0,24.202721326112695
6,4682.0,MESA DR & UNIVERSITY DR,310 N MESA DR,Globe,85201.0,Mesa,Weekend,4.0,4.0,4.0,2.0,4.0,3.0,5.0,7.0,3.0,6.0,5.0,4.0,6.0,19882.0,51519.0,12469.0,24.202721326112695
7,4682.0,MESA DR & UNIVERSITY DR,310 N MESA DR,Globe,85201.0,Mesa,Weekday,26.0,26.0,27.0,34.0,19.0,29.0,32.0,57.0,26.0,35.0,28.0,25.0,31.0,19882.0,51519.0,12469.0,24.202721326112695
8,4679.0,MESA DR & 1ST ST,307 E 1ST ST,Globe,85201.0,Mesa,Weekend,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
9,4679.0,MESA DR & 1ST ST,307 E 1ST ST,Globe,85201.0,Mesa,Weekday,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,19882.0,51519.0,12469.0,24.202721326112695
10,5179.0,MESA DR & 2ND AVE,210 S MESA DR,Apache Junction,85210.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20268.0,40919.0,11112.0,27.1560888584765
11,5179.0,MESA DR & 2ND AVE,210 S MESA DR,Apache Junction,85210.0,Mesa,Weekday,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,20268.0,40919.0,11112.0,27.1560888584765
12,5180.0,MESA DR & BROADWAY RD,361 E BROADWAY RD,Apache Junction,85210.0,Mesa,Weekend,3.0,3.0,3.0,2.0,3.0,4.0,4.0,6.0,1.0,2.0,2.0,3.0,3.0,20268.0,40919.0,11112.0,27.1560888584765
13,5180.0,MESA DR & BROADWAY RD,361 E BROADWAY RD,Apache Junction,85210.0,Mesa,Weekday,13.0,13.0,14.0,19.0,8.0,14.0,13.0,24.0,11.0,12.0,13.0,13.0,14.0,20268.0,40919.0,11112.0,27.1560888584765
14,5183.0,MESA DR & MARILYN AVE,640 S MESA DR,Apache Junction,85210.0,Mesa,Weekend,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,20268.0,40919.0,11112.0,27.1560888584765
15,5183.0,MESA DR & MARILYN AVE,640 S MESA DR,Apache Junction,85210.0,Mesa,Weekday,5.0,5.0,5.0,7.0,5.0,6.0,6.0,6.0,2.0,3.0,2.0,2.0,2.0,20268.0,40919.0,11112.0,27.1560888584765
16,8025.0,COURY AVE & MESA DR,461 E AUTO CENTER DR,Mesa,85204.0,Mesa,Weekend,,,,,0.0,2.0,0.0,,,0.0,0.0,0.0,,20956.0,69278.0,13707.0,19.785501890932185
17,8025.0,COURY AVE & MESA DR,461 E AUTO CENTER DR,Mesa,85204.0,Mesa,Weekday,5.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,20956.0,69278.0,13707.0,19.785501890932185
18,5152.0,LEWIS & COURY AVE,1840 S LEWIS,Apache Junction,85210.0,Mesa,Weekend,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,20268.0,40919.0,11112.0,27.1560888584765
19,5152.0,LEWIS & COURY AVE,1840 S LEWIS,Apache Junction,85210.0,Mesa,Weekday,11.0,11.0,11.0,11.0,6.0,8.0,10.0,15.0,9.0,10.0,12.0,7.0,9.0,20268.0,40919.0,11112.0,27.1560888584765
20,438.0,JAVALINA AVE & LEWIS,227 E JAVELINA AVE,Apache Junction,85210.0,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,20268.0,40919.0,11112.0,27.1560888584765
21,438.0,JAVALINA AVE & LEWIS,227 E JAVELINA AVE,Apache Junction,85210.0,Mesa,Weekday,6.0,6.0,6.0,7.0,4.0,4.0,5.0,11.0,4.0,6.0,7.0,6.0,6.0,20268.0,40919.0,11112.0,27.1560888584765
22,3438.0,MESA DR & COURY AVE,461 E AUTO CENTER DR,Mesa,85204.0,Mesa,Weekend,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,20956.0,69278.0,13707.0,19.785501890932185
23,3438.0,MESA DR & COURY AVE,461 E AUTO CENTER DR,Mesa,85204.0,Mesa,Weekday,24.0,24.0,24.0,28.0,16.0,18.0,18.0,31.0,15.0,21.0,22.0,18.0,16.0,20956.0,69278.0,13707.0,19.785501890932185
24,3442.0,MESA DR & FRANKLIN AVE,701 S MESA DR,Apache Junction,85210.0,Mesa,Weekend,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,20268.0,40919.0,11112.0,27.1560888584765
25,3442.0,MESA DR & FRANKLIN AVE,701 S MESA DR,Apache Junction,85210.0,Mesa,Weekday,9.0,9.0,9.0,8.0,5.0,6.0,6.0,11.0,5.0,8.0,8.0,6.0,6.0,20268.0,40919.0,11112.0,27.1560888584765
26,3441.0,MESA DR & BROADWAY RD,434 E BROADWAY RD,Mesa,85204.0,Mesa,Weekend,2.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,5.0,3.0,3.0,3.0,20956.0,69278.0,13707.0,19.785501890932185
