,StopID,Juris,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode
0,5182,Mesa,Weekend,7.0,7.0,6.0,4.0,7.0,6.0,8.0,12.0,5.0,10.0,11.0,9.0,8.0,315 E MAIN ST,Globe,AZ,85201.0
1,2982,Mesa,Weekend,7.0,6.0,6.0,4.0,4.0,5.0,6.0,10.0,5.0,9.0,6.0,6.0,7.0,410 E MAIN ST,Mesa,AZ,85203.0
2,4681,Mesa,Weekend,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,520 N MESA DR,Globe,AZ,85201.0
3,4682,Mesa,Weekend,4.0,4.0,4.0,2.0,4.0,3.0,5.0,7.0,3.0,6.0,5.0,4.0,6.0,310 N MESA DR,Globe,AZ,85201.0
4,4679,Mesa,Weekend,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,307 E 1ST ST,Globe,AZ,85201.0
5,5179,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,210 S MESA DR,Apache Junction,AZ,85210.0
6,5180,Mesa,Weekend,3.0,3.0,3.0,2.0,3.0,4.0,4.0,6.0,1.0,2.0,2.0,3.0,3.0,361 E BROADWAY RD,Apache Junction,AZ,85210.0
7,5183,Mesa,Weekend,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,640 S MESA DR,Apache Junction,AZ,85210.0
8,8025,Mesa,Weekend,,,,,0.0,2.0,0.0,,,0.0,0.0,0.0,,461 E AUTO CENTER DR,Mesa,AZ,85204.0
9,8026,Mesa,Weekend,0.0,0.0,0.0,,,,,,,,,,,,,,
10,5152,Mesa,Weekend,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1840 S LEWIS,Apache Junction,AZ,85210.0
11,438,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,227 E JAVELINA AVE,Apache Junction,AZ,85210.0
12,3438,Mesa,Weekend,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,461 E AUTO CENTER DR,Mesa,AZ,85204.0
13,3442,Mesa,Weekend,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,701 S MESA DR,Apache Junction,AZ,85210.0
14,3441,Mesa,Weekend,2.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,5.0,3.0,3.0,3.0,434 E BROADWAY RD,Mesa,AZ,85204.0
15,3440,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,144 S MESA DR,Apache Junction,AZ,85210.0
16,2979,Mesa,Weekend,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402 E 1ST ST,Mesa,AZ,85203.0
17,4678,Mesa,Weekend,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,207 N MESA DR,Globe,AZ,85201.0
18,2983,Mesa,Weekend,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,412 E UNIVERSITY DR,Mesa,AZ,85203.0
19,2984,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,
20,2980,Mesa,Weekend,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,1.0,629 N MESA DR,Globe,AZ,85201.0
21,2981,Mesa,Weekend,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843 N MESA DR,Globe,AZ,85201.0
22,2978,Mesa,Weekend,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,406 E 10TH ST,Mesa,AZ,85203.0
23,5500,Mesa,Weekend,6.0,5.0,5.0,5.0,3.0,3.0,6.0,12.0,6.0,7.0,6.0,5.0,6.0,352 E BROWN RD,Globe,AZ,85201.0
