,StopID,Location,Address,City,Zipcode,Juris_y,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
0,5182,MESA DR & MAIN ST,315 E MAIN ST,Globe,85201,Mesa,Weekend,7,7,6,4,7,6,8,12,5,10,11,9,8
1,5182,MESA DR & MAIN ST,315 E MAIN ST,Globe,85201,Mesa,Weekday,42,42,44,49,31,31,36,79,38,56,55,48,44
2,2982,MESA DR & MAIN ST,410 E MAIN ST,Mesa,85203,Mesa,Weekend,7,6,6,4,4,5,6,10,5,9,6,6,7
3,2982,MESA DR & MAIN ST,410 E MAIN ST,Mesa,85203,Mesa,Weekday,33,33,34,33,21,26,36,76,40,45,36,30,36
4,4681,MESA DR & 6TH ST,520 N MESA DR,Globe,85201,Mesa,Weekend,0,0,0,1,0,1,3,2,1,1,2,1,2
5,4681,MESA DR & 6TH ST,520 N MESA DR,Globe,85201,Mesa,Weekday,4,4,4,6,4,5,7,12,5,7,9,6,6
6,4682,MESA DR & UNIVERSITY DR,310 N MESA DR,Globe,85201,Mesa,Weekend,4,4,4,2,4,3,5,7,3,6,5,4,6
7,4682,MESA DR & UNIVERSITY DR,310 N MESA DR,Globe,85201,Mesa,Weekday,26,26,27,34,19,29,32,57,26,35,28,25,31
8,4679,MESA DR & 1ST ST,307 E 1ST ST,Globe,85201,Mesa,Weekend,0,0,0,0,,0,0,1,0,0,1,1,2
9,4679,MESA DR & 1ST ST,307 E 1ST ST,Globe,85201,Mesa,Weekday,1,1,2,2,1,2,2,4,2,2,2,1,2
10,5179,MESA DR & 2ND AVE,210 S MESA DR,Apache Junction,85210,Mesa,Weekend,0,0,0,0,0,1,1,1,0,0,0,0,0
11,5179,MESA DR & 2ND AVE,210 S MESA DR,Apache Junction,85210,Mesa,Weekday,3,3,3,4,2,4,3,3,1,1,2,1,1
12,5180,MESA DR & BROADWAY RD,361 E BROADWAY RD,Apache Junction,85210,Mesa,Weekend,3,3,3,2,3,4,4,6,1,2,2,3,3
13,5180,MESA DR & BROADWAY RD,361 E BROADWAY RD,Apache Junction,85210,Mesa,Weekday,13,13,14,19,8,14,13,24,11,12,13,13,14
14,5183,MESA DR & MARILYN AVE,640 S MESA DR,Apache Junction,85210,Mesa,Weekend,1,1,1,0,1,2,2,2,1,1,1,0,0
15,5183,MESA DR & MARILYN AVE,640 S MESA DR,Apache Junction,85210,Mesa,Weekday,5,5,5,7,5,6,6,6,2,3,2,2,2
16,8025,COURY AVE & MESA DR,461 E AUTO CENTER DR,Mesa,85204,Mesa,Weekend,,,,,0,2,0,,,0,0,0,
17,8025,COURY AVE & MESA DR,461 E AUTO CENTER DR,Mesa,85204,Mesa,Weekday,5,5,5,5,2,4,2,2,1,0,0,1,0
18,5152,LEWIS & COURY AVE,1840 S LEWIS,Apache Junction,85210,Mesa,Weekend,1,0,0,0,0,,1,0,0,0,0,1,1
19,5152,LEWIS & COURY AVE,1840 S LEWIS,Apache Junction,85210,Mesa,Weekday,11,11,11,11,6,8,10,15,9,10,12,7,9
20,438,JAVALINA AVE & LEWIS,227 E JAVELINA AVE,Apache Junction,85210,Mesa,Weekend,0,0,0,0,0,0,0,1,9,0,0,0,0
21,438,JAVALINA AVE & LEWIS,227 E JAVELINA AVE,Apache Junction,85210,Mesa,Weekday,6,6,6,7,4,4,5,11,4,6,7,6,6
22,3438,MESA DR & COURY AVE,461 E AUTO CENTER DR,Mesa,85204,Mesa,Weekend,1,1,1,1,2,1,2,2,1,2,2,1,1
23,3438,MESA DR & COURY AVE,461 E AUTO CENTER DR,Mesa,85204,Mesa,Weekday,24,24,24,28,16,18,18,31,15,21,22,18,16
24,3442,MESA DR & FRANKLIN AVE,701 S MESA DR,Apache Junction,85210,Mesa,Weekend,2,2,2,1,2,2,3,2,1,2,2,2,2
25,3442,MESA DR & FRANKLIN AVE,701 S MESA DR,Apache Junction,85210,Mesa,Weekday,9,9,9,8,5,6,6,11,5,8,8,6,6
26,3441,MESA DR & BROADWAY RD,434 E BROADWAY RD,Mesa,85204,Mesa,Weekend,2,2,2,2,2,1,3,6,2,5,3,3,3
27,3441,MESA DR & BROADWAY RD,434 E BROADWAY RD,Mesa,85204,Mesa,Weekday,13,13,14,16,11,13,17,34,15,27,23,18,19
28,3440,MESA DR & 2ND AVE,144 S MESA DR,Apache Junction,85210,Mesa,Weekend,0,0,0,0,0,0,0,0,,0,0,0,0
29,3440,MESA DR & 2ND AVE,144 S MESA DR,Apache Junction,85210,Mesa,Weekday,3,3,3,4,1,5,3,2,1,1,1,1,0
30,2979,MESA DR & 1ST ST,402 E 1ST ST,Mesa,85203,Mesa,Weekend,1,1,0,0,,0,0,0,0,0,0,0,0
31,2979,MESA DR & 1ST ST,402 E 1ST ST,Mesa,85203,Mesa,Weekday,2,2,2,3,1,2,2,3,1,1,1,1,1
32,4678,MESA DR & 2ND ST,207 N MESA DR,Globe,85201,Mesa,Weekend,1,1,1,1,0,2,1,0,0,0,0,0,0
33,4678,MESA DR & 2ND ST,207 N MESA DR,Globe,85201,Mesa,Weekday,4,4,5,5,2,3,3,3,1,2,1,1,1
34,2983,MESA DR & UNIVERSITY DR,412 E UNIVERSITY DR,Mesa,85203,Mesa,Weekend,1,1,1,1,1,2,2,3,1,1,3,3,2
35,2983,MESA DR & UNIVERSITY DR,412 E UNIVERSITY DR,Mesa,85203,Mesa,Weekday,9,9,9,9,5,7,8,18,7,9,13,12,12
36,2980,MESA DR & 6TH ST,629 N MESA DR,Globe,85201,Mesa,Weekend,0,0,0,0,0,0,6,1,0,0,1,1,1
37,2980,MESA DR & 6TH ST,629 N MESA DR,Globe,85201,Mesa,Weekday,1,1,1,1,1,1,1,3,1,1,2,1,1
38,2981,MESA DR & 8TH ST,843 N MESA DR,Globe,85201,Mesa,Weekend,0,0,0,,,0,0,0,0,0,0,0,0
39,2981,MESA DR & 8TH ST,843 N MESA DR,Globe,85201,Mesa,Weekday,0,0,0,1,0,0,0,1,0,1,0,0,0
40,2978,MESA DR & 10TH ST,406 E 10TH ST,Mesa,85203,Mesa,Weekend,0,0,0,0,,0,0,0,,0,0,0,0
41,2978,MESA DR & 10TH ST,406 E 10TH ST,Mesa,85203,Mesa,Weekday,2,2,2,2,0,2,1,0,0,0,0,0,0
