,Q1,Q2,Q3,Q4,2018
2758,4.0,0.0,0.0,0.0,
2760,5.0,0.0,0.0,0.0,
2762,4.0,0.0,0.0,0.0,
2764,5.0,0.0,0.0,0.0,
2905,0.0,2.0,1.0,3.0,
2906,2.0,7.0,10.0,15.0,
2907,5.0,1.0,0.0,1.0,
2908,15.0,5.0,4.0,5.0,
2909,33.0,21.0,30.0,19.0,
2910,72.0,38.0,60.0,44.0,
2913,1.0,1.0,1.0,0.0,
2914,10.0,5.0,6.0,6.0,
2915,2.0,,,0.0,
2916,1.0,0.0,0.0,0.0,
2917,1.0,0.0,0.0,0.0,
2918,0.0,0.0,0.0,0.0,
2919,0.0,0.0,0.0,0.0,
2920,1.0,1.0,1.0,0.0,
2921,5.0,1.0,2.0,8.0,
2922,55.0,27.0,55.0,47.0,
2931,3.0,0.0,0.0,1.0,
2932,6.0,1.0,0.0,1.0,
2933,13.0,7.0,12.0,9.0,
2934,49.0,23.0,37.0,50.0,
2997,3.0,1.0,0.0,0.0,
2998,6.0,2.0,1.0,2.0,
3001,3.0,1.0,1.0,2.0,
3002,10.0,2.0,2.0,4.0,
3007,8.0,4.0,4.0,3.0,
3008,26.0,11.0,10.0,12.0,
3009,3.0,2.0,1.0,2.0,
3010,11.0,3.0,3.0,5.0,
3011,8.0,3.0,3.0,3.0,
3012,10.0,3.0,4.0,5.0,
3013,,,,,
3014,1.0,0.0,1.0,1.0,
3049,2.0,2.0,0.0,1.0,
3050,4.0,2.0,2.0,10.0,
3051,65.0,35.0,37.0,39.0,
3052,114.0,56.0,67.0,87.0,
3053,0.0,0.0,0.0,2.0,
3054,0.0,0.0,1.0,10.0,
3055,2.0,8.0,2.0,31.0,
3056,5.0,3.0,3.0,10.0,
3073,1.0,0.0,0.0,0.0,
3074,3.0,1.0,0.0,1.0,
3075,1.0,,0.0,0.0,
3076,2.0,7.0,0.0,5.0,
3077,63.0,38.0,40.0,44.0,
3078,108.0,58.0,62.0,72.0,
3079,5.0,2.0,1.0,1.0,
3080,10.0,4.0,4.0,4.0,
3085,19.0,7.0,10.0,11.0,
3086,36.0,15.0,21.0,25.0,
3087,38.0,28.0,27.0,20.0,
3088,80.0,59.0,51.0,55.0,
3089,5.0,5.0,4.0,2.0,
3090,16.0,7.0,7.0,6.0,
3091,4.0,3.0,2.0,3.0,
3092,10.0,14.0,9.0,9.0,
3093,1.0,,0.0,0.0,
3094,4.0,2.0,1.0,3.0,
3095,13.0,8.0,8.0,7.0,
3096,67.0,26.0,24.0,36.0,
3097,2.0,1.0,1.0,1.0,
3098,8.0,5.0,4.0,5.0,
3099,8.0,2.0,2.0,1.0,
3100,13.0,4.0,3.0,3.0,
3101,9.0,17.0,62.0,58.0,
3102,14.0,40.0,136.0,119.0,
3117,1.0,0.0,0.0,1.0,
3118,9.0,2.0,1.0,5.0,
3119,6.0,4.0,6.0,8.0,
3120,9.0,4.0,5.0,10.0,
3121,1.0,0.0,1.0,1.0,
3122,2.0,1.0,2.0,2.0,
3123,2.0,1.0,0.0,1.0,
3124,3.0,1.0,1.0,1.0,
3125,1.0,1.0,1.0,1.0,
3126,2.0,0.0,1.0,2.0,
3141,8.0,4.0,6.0,3.0,
3142,12.0,8.0,7.0,7.0,
3143,1.0,1.0,1.0,1.0,
3144,1.0,1.0,2.0,1.0,
3145,3.0,2.0,1.0,2.0,
3146,6.0,3.0,2.0,3.0,
3147,1.0,0.0,0.0,1.0,
3148,3.0,1.0,1.0,1.0,
3149,14.0,9.0,12.0,9.0,
3150,22.0,12.0,13.0,15.0,
3151,1.0,0.0,0.0,4.0,
3152,2.0,0.0,1.0,1.0,
3157,0.0,0.0,0.0,,
3158,1.0,1.0,0.0,1.0,
3159,1.0,1.0,1.0,0.0,
3160,2.0,2.0,1.0,0.0,
3161,6.0,5.0,6.0,6.0,
3162,17.0,11.0,17.0,14.0,
3163,0.0,0.0,0.0,0.0,
3164,1.0,1.0,1.0,0.0,
3165,2.0,1.0,2.0,1.0,
3166,5.0,2.0,4.0,4.0,
3167,2.0,2.0,2.0,2.0,
3168,4.0,2.0,2.0,2.0,
3169,3.0,2.0,3.0,2.0,
3170,6.0,3.0,4.0,3.0,
3171,6.0,3.0,4.0,3.0,
3172,19.0,11.0,15.0,14.0,
3173,5.0,2.0,2.0,2.0,
3174,6.0,2.0,3.0,4.0,
3175,9.0,3.0,6.0,3.0,
3176,23.0,10.0,20.0,17.0,
3177,0.0,0.0,0.0,0.0,
3178,1.0,0.0,0.0,1.0,
3179,11.0,5.0,10.0,7.0,
3180,45.0,20.0,35.0,24.0,
3181,,,,0.0,
3182,0.0,0.0,0.0,0.0,
3189,1.0,1.0,1.0,0.0,
3190,3.0,1.0,2.0,1.0,
3191,6.0,2.0,1.0,1.0,
3192,11.0,4.0,3.0,2.0,
3193,29.0,4.0,4.0,3.0,
3194,47.0,7.0,12.0,14.0,
3195,1.0,,,,
3196,4.0,2.0,3.0,1.0,
3197,29.0,22.0,41.0,5.0,
3198,58.0,31.0,55.0,10.0,
3199,,,,,
3200,,10.0,37.0,14.0,
3203,,,,,
3204,0.0,0.0,0.0,,
3209,48.0,34.0,34.0,32.0,
3210,102.0,49.0,41.0,50.0,
3211,7.0,3.0,4.0,5.0,
3212,12.0,5.0,5.0,7.0,
3213,52.0,30.0,31.0,26.0,
3214,108.0,48.0,42.0,55.0,
3215,3.0,2.0,2.0,2.0,
3216,5.0,2.0,2.0,3.0,
3217,3.0,2.0,3.0,2.0,
3218,9.0,4.0,4.0,3.0,
3219,3.0,2.0,1.0,2.0,
3220,18.0,6.0,5.0,8.0,
3221,3.0,2.0,3.0,1.0,
3222,6.0,4.0,4.0,3.0,
3223,7.0,3.0,4.0,6.0,
3224,18.0,9.0,8.0,10.0,
3225,6.0,3.0,3.0,4.0,
3226,13.0,9.0,9.0,10.0,
3227,13.0,7.0,10.0,8.0,
3228,23.0,11.0,21.0,15.0,
3229,0.0,0.0,0.0,1.0,
3230,2.0,0.0,0.0,1.0,
3231,14.0,9.0,15.0,10.0,
3232,29.0,15.0,24.0,25.0,
3233,3.0,1.0,1.0,1.0,
3234,4.0,1.0,1.0,1.0,
3235,106.0,52.0,59.0,56.0,
3236,188.0,88.0,79.0,103.0,
3237,17.0,7.0,14.0,9.0,
3238,54.0,24.0,34.0,29.0,
3239,19.0,11.0,10.0,7.0,
3240,23.0,13.0,13.0,15.0,
3241,16.0,13.0,7.0,18.0,
3242,22.0,11.0,8.0,11.0,
3243,20.0,12.0,12.0,16.0,
3244,33.0,17.0,16.0,19.0,
3245,22.0,13.0,12.0,11.0,
3246,39.0,26.0,19.0,23.0,
3247,14.0,6.0,6.0,6.0,
3248,19.0,9.0,11.0,13.0,
3249,11.0,5.0,6.0,4.0,
3250,17.0,5.0,6.0,7.0,
3251,24.0,12.0,12.0,10.0,
3252,36.0,17.0,17.0,21.0,
3253,9.0,3.0,4.0,5.0,
3254,14.0,7.0,7.0,8.0,
3255,45.0,28.0,33.0,26.0,
3256,60.0,33.0,34.0,39.0,
3257,41.0,23.0,26.0,24.0,
3258,73.0,37.0,35.0,39.0,
3259,10.0,10.0,5.0,6.0,
3260,14.0,8.0,7.0,10.0,
3261,3.0,2.0,2.0,2.0,
3262,11.0,4.0,5.0,5.0,
3263,5.0,2.0,1.0,1.0,
3264,13.0,5.0,4.0,5.0,
3265,28.0,15.0,13.0,12.0,
3266,32.0,17.0,16.0,16.0,
3267,16.0,8.0,8.0,10.0,
3268,40.0,17.0,16.0,30.0,
3269,2.0,1.0,0.0,1.0,
3270,3.0,1.0,1.0,1.0,
3271,3.0,1.0,1.0,1.0,
3272,7.0,2.0,2.0,2.0,
3273,7.0,4.0,4.0,8.0,
3274,7.0,4.0,5.0,6.0,
3275,3.0,0.0,0.0,0.0,
3276,4.0,0.0,0.0,0.0,
3277,3.0,0.0,0.0,0.0,
3278,3.0,0.0,0.0,0.0,
