,StopID,Juris,Day,ComputedStreetAddress,ComputedCity,ComputedState,Zipcode,Per Capita Income,Population,Poverty Count,Poverty Rate,2018
3543,8780,Phoenix,Weekend,7050 S 24TH ST,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,1.3333333333333333
3544,8783,Phoenix,Weekend,341 W MCDOWELL RD,Phoenix,AZ,85003.0,37766.0,8419.0,1652.0,19.622282931464543,2.0
3545,8785,Phoenix,Weekend,7435 W LOWER BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,27.333333333333332
3547,8793,Phoenix,Weekend,506 W MCDOWELL RD,Phoenix,AZ,85003.0,37766.0,8419.0,1652.0,19.622282931464543,0.6666666666666666
3548,8796,Phoenix,Weekend,19801 N TATUM BLVD,Phoenix,AZ,85050.0,48804.0,30647.0,1873.0,6.111528045159396,1.0
3549,8825,Phoenix,Weekend,6008 S 25TH DR,Phoenix,AZ,85041.0,19436.0,62491.0,14315.0,22.907298651005746,0.3333333333333333
3550,8828,Phoenix,Weekend,3310 W SOUTHERN AVE,Phoenix,AZ,85041.0,19436.0,62491.0,14315.0,22.907298651005746,0.0
3551,8834,Phoenix,Weekend,7050 S 24TH ST,Phoenix,AZ,85042.0,23442.0,46570.0,8510.0,18.27356667382435,5.0
3556,8904,Phoenix,Weekend,5151 E WASHINGTON ST,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,1.3333333333333333
3557,8982,Phoenix,Weekend,5777 E MAYO BLVD,Phoenix,AZ,85054.0,59206.0,6896.0,280.0,4.060324825986079,11.333333333333334
3591,9094,Phoenix,Weekend,4635 N 27TH AVE,Phoenix,AZ,85017.0,13334.0,41993.0,14062.0,33.48653346986403,1.0
3594,9105,Phoenix,Weekend,4635 N 27TH AVE,Phoenix,AZ,85017.0,13334.0,41993.0,14062.0,33.48653346986403,2.0
3597,9108,Phoenix,Weekend,1810 S 66TH LN,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,5.0
3598,9109,Phoenix,Weekend,6652 W YUMA ST,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,2.0
3599,9112,Phoenix,Weekend,1602 S 16TH ST,Phoenix,AZ,85034.0,15735.0,4772.0,1896.0,39.73176865046102,4.666666666666667
3601,9114,Phoenix,Weekend,5450 E DEER VALLEY DR,Phoenix,AZ,85054.0,59206.0,6896.0,280.0,4.060324825986079,
3624,9174,Phoenix,Weekend,1001 S 75TH AVE,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,1.0
3625,9175,Phoenix,Weekend,6652 W BUCKEYE RD,Phoenix,AZ,85043.0,16552.0,39757.0,8823.0,22.192318333878312,47.0
3626,9178,Phoenix,Weekend,9243 S LEILA LN,Phoenix,AZ,85041.0,19436.0,62491.0,14315.0,22.907298651005746,0.6666666666666666
3627,9179,Phoenix,Weekend,20835 N CAVE CREEK RD,Phoenix,AZ,85024.0,37122.0,24675.0,1962.0,7.951367781155016,11.666666666666666
3636,9189,Phoenix,Weekend,17810 N 42ND DR,Phoenix,AZ,85308.0,35639.0,66057.0,5449.0,8.248936524516706,0.3333333333333333
3637,9190,Phoenix,Weekend,18052 N 42ND DR,Phoenix,AZ,85308.0,35639.0,66057.0,5449.0,8.248936524516706,0.3333333333333333
3638,9191,Phoenix,Weekend,18441 N 7TH ST,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,49.0
3639,9192,Phoenix,Weekend,18030 N 7TH ST,Phoenix,AZ,85022.0,33913.0,51426.0,6898.0,13.413448450200288,2.3333333333333335
