OBJECTID,StopID,NextRide,Location,Juris,Photo,Routes,Day_Category,Q2016_2,Q2016_3,Q2016_4,Q2017_1,Q2017_2,Q2017_3,Q2017_4,Q2018_12,Q2018_2,Q2018_3,Q42018,Q2019_1,Q2019_2
1,5182,16020,MESA DR & MAIN ST,Mesa,https://farm9.staticflickr.com/8719/16921707206_868c4c2c60_o.jpg,120,Weekend,7,7,6,4,7,6,8,12,5,10,11,9,8
2,2982,16001,MESA DR & MAIN ST,Mesa,https://farm1.staticflickr.com/757/21334866928_8d4f394d3c_o.jpg,120,Weekend,7,6,6,4,4,5,6,10,5,9,6,6,7
3,4681,16016,MESA DR & 6TH ST,Mesa,https://farm8.staticflickr.com/7288/16327599203_8fd254f8b1_o.jpg,120,Weekend,0,0,0,1,0,1,3,2,1,1,2,1,2
4,4682,16017,MESA DR & UNIVERSITY DR,Mesa,https://farm9.staticflickr.com/8622/16309951518_fd3c65683b_o.jpg,120,Weekend,4,4,4,2,4,3,5,7,3,6,5,4,6
5,4679,16019,MESA DR & 1ST ST,Mesa,https://farm8.staticflickr.com/7292/15877535023_ff0dca51cb_o.jpg,120,Weekend,0,0,0,0,,0,0,1,0,0,1,1,2
6,5179,16021,MESA DR & 2ND AVE,Mesa,https://farm8.staticflickr.com/7350/15877532883_327fdebba6_o.jpg,120,Weekend,0,0,0,0,0,1,1,1,0,0,0,0,0
7,5180,16022,MESA DR & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7606/16946694411_c198f37e9e_o.jpg,120,Weekend,3,3,3,2,3,4,4,6,1,2,2,3,3
8,5183,16023,MESA DR & MARILYN AVE,Mesa,https://farm8.staticflickr.com/7649/16761442669_f35495e97d_o.jpg,120,Weekend,1,1,1,0,1,2,2,2,1,1,1,0,0
9,8025,16027,COURY AVE & MESA DR,Mesa,https://farm8.staticflickr.com/7419/15875093204_aa21c602a8_o.jpg,120,Weekend,,,,,0,2,0,,,0,0,0,
10,8026,16028,COURY AVE & LEWIS,Mesa,https://farm8.staticflickr.com/7361/16497669315_624886aea7_o.jpg,120,Weekend,0,0,0,,,,,,,,,,
11,5152,15991,LEWIS & COURY AVE,Mesa,https://farm8.staticflickr.com/7446/16471657926_b5ac305a00_o.jpg,120,Weekend,1,0,0,0,0,,1,0,0,0,0,1,1
12,438,15992,JAVALINA AVE & LEWIS,Mesa,https://farm5.staticflickr.com/4692/24304966767_f77d944fb2_o.jpg,120,Weekend,0,0,0,0,0,0,0,1,9,0,0,0,0
13,3438,15993,MESA DR & COURY AVE,Mesa,https://farm8.staticflickr.com/7355/16471684796_bf1b30dd45_o.jpg,120,Weekend,1,1,1,1,2,1,2,2,1,2,2,1,1
14,3442,15998,MESA DR & FRANKLIN AVE,Mesa,https://farm8.staticflickr.com/7392/16496651752_0b4ce3e823_o.jpg,120,Weekend,2,2,2,1,2,2,3,2,1,2,2,2,2
15,3441,15999,MESA DR & BROADWAY RD,Mesa,https://farm8.staticflickr.com/7341/16309955648_913898d2f7_o.jpg,120,Weekend,2,2,2,2,2,1,3,6,2,5,3,3,3
16,3440,16000,MESA DR & 2ND AVE,Mesa,https://farm8.staticflickr.com/7405/16496651782_b5da5ae11d_o.jpg,120,Weekend,0,0,0,0,0,0,0,0,,0,0,0,0
17,2979,16002,MESA DR & 1ST ST,Mesa,https://farm8.staticflickr.com/7326/16495946251_3aaed04ea6_o.jpg,120,Weekend,1,1,0,0,,0,0,0,0,0,0,0,0
18,4678,16003,MESA DR & 2ND ST,Mesa,https://farm9.staticflickr.com/8736/16327541253_77b570ba54_o.jpg,120,Weekend,1,1,1,1,0,2,1,0,0,0,0,0,0
19,2983,16004,MESA DR & UNIVERSITY DR,Mesa,https://farm8.staticflickr.com/7457/16497684675_50aa87b162_o.jpg,120,Weekend,1,1,1,1,1,2,2,3,1,1,3,3,2
20,2984,16005,4TH PL & 6TH ST,Mesa,https://farm9.staticflickr.com/8574/16471660166_f7efab217b_o.jpg,120,Weekend,0,0,0,0,0,0,0,0,,0,,,
21,2980,16006,MESA DR & 6TH ST,Mesa,https://farm8.staticflickr.com/7375/16311755787_a7d4e7bab3_o.jpg,120,Weekend,0,0,0,0,0,0,6,1,0,0,1,1,1
22,2981,16007,MESA DR & 8TH ST,Mesa,https://farm8.staticflickr.com/7364/16497659255_8b5e62625b_o.jpg,120,Weekend,0,0,0,,,0,0,0,0,0,0,0,0
