X,Y,OBJECTID,StopID,NextRide,Location,Juris,Shelter,Bench,TrashCan,BusBay,BikeRack,WaterFountain,PublicArt,ADA,Bathroom,Lighting,Em_Call,Info_Display,Type_,DateUpdated,Sidewalk,Photo,ATIS_ID,Direction,Long,Lat,Routes
-111.823075990545,33.4147193304186,1,5182,16020,MESA DR & MAIN ST,Mesa,1,1,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,,https://farm9.staticflickr.com/8719/16921707206_868c4c2c60_o.jpg,5196,Southbound,-111.823075990545,33.4147193304186,120
-111.822765687811,33.4156843465566,2,2982,16001,MESA DR & MAIN ST,Mesa,1,4,1,Yes,2,No,No,No,No,Yes,No,Yes,LINK,1541147907453,Yes,https://farm1.staticflickr.com/757/21334866928_8d4f394d3c_o.jpg,2996,Northbound,-111.822765687811,33.4156843465566,120
-111.822934487577,33.4257343931201,3,4681,16016,MESA DR & 6TH ST,Mesa,1,1,1,No,2,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7288/16327599203_8fd254f8b1_o.jpg,4695,Southbound,-111.822934487577,33.4257343931201,120
-111.823047726262,33.4220479985167,4,4682,16017,MESA DR & UNIVERSITY DR,Mesa,1,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8622/16309951518_fd3c65683b_o.jpg,4696,Southbound,-111.823047726262,33.4220479985167,120
-111.823069405861,33.4168833504112,5,4679,16019,MESA DR & 1ST ST,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7292/15877535023_ff0dca51cb_o.jpg,4693,Southbound,-111.823069405861,33.4168833504112,120
-111.823097555623,33.4104213312629,6,5179,16021,MESA DR & 2ND AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7350/15877532883_327fdebba6_o.jpg,5193,Southbound,-111.823097555623,33.4104213312629,120
-111.823089922458,33.4074277625267,7,5180,16022,MESA DR & BROADWAY RD,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,,https://farm8.staticflickr.com/7606/16946694411_c198f37e9e_o.jpg,5194,Southbound,-111.823089922458,33.4074277625267,120
-111.823079297327,33.4031017973098,8,5183,16023,MESA DR & MARILYN AVE,Mesa,0,0,0,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7649/16761442669_f35495e97d_o.jpg,5197,Southbound,-111.823079297327,33.4031017973098,120
-111.823868566666,33.3824668341569,9,8025,16027,COURY AVE & MESA DR,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7419/15875093204_aa21c602a8_o.jpg,9811,Westbound,-111.823868566666,33.3824668341569,120
-111.828464699819,33.3822251795024,11,5152,15991,LEWIS & COURY AVE,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7446/16471657926_b5ac305a00_o.jpg,5166,Southbound,-111.828464699819,33.3822251795024,120
-111.827483801307,33.380348306545,12,438,15992,JAVALINA AVE & LEWIS,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm5.staticflickr.com/4692/24304966767_f77d944fb2_o.jpg,454,Eastbound,-111.827483801307,33.380348306545,120
-111.822938467828,33.3826046642914,13,3438,15993,MESA DR & COURY AVE,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7355/16471684796_bf1b30dd45_o.jpg,3452,Northbound,-111.822938467828,33.3826046642914,120
-111.822832420086,33.4023387341046,14,3442,15998,MESA DR & FRANKLIN AVE,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7392/16496651752_0b4ce3e823_o.jpg,3456,Northbound,-111.822832420086,33.4023387341046,120
-111.822880324642,33.4080023337287,15,3441,15999,MESA DR & BROADWAY RD,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7341/16309955648_913898d2f7_o.jpg,3455,Northbound,-111.822880324642,33.4080023337287,120
-111.822835957329,33.4115779237804,16,3440,16000,MESA DR & 2ND AVE,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7405/16496651782_b5da5ae11d_o.jpg,3454,Northbound,-111.822835957329,33.4115779237804,120
-111.822820736132,33.4175379166453,17,2979,16002,MESA DR & 1ST ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7326/16495946251_3aaed04ea6_o.jpg,2993,Northbound,-111.822820736132,33.4175379166453,120
-111.822774285593,33.4197504857682,18,4678,16003,MESA DR & 2ND ST,Mesa,0,0,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8736/16327541253_77b570ba54_o.jpg,4692,Northbound,-111.822774285593,33.4197504857682,120
-111.822720500225,33.4227915534926,19,2983,16004,MESA DR & UNIVERSITY DR,Mesa,1,2,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7457/16497684675_50aa87b162_o.jpg,2997,Northbound,-111.822720500225,33.4227915534926,120
-111.822682693173,33.4261665601742,21,2980,16006,MESA DR & 6TH ST,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7375/16311755787_a7d4e7bab3_o.jpg,2994,Northbound,-111.822682693173,33.4261665601742,120
-111.822632431626,33.430312682268,22,2981,16007,MESA DR & 8TH ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7364/16497659255_8b5e62625b_o.jpg,2995,Northbound,-111.822632431626,33.430312682268,120
-111.822592020084,33.432192423379,23,2978,16008,MESA DR & 10TH ST,Mesa,0,0,0,No,0,No,No,No,No,No,No,No,Standard,1541147907453,,https://farm9.staticflickr.com/8735/16947685075_1aa24b0e9b_o.jpg,2992,Northbound,-111.822592020084,33.432192423379,120
-111.823043272858,33.4356903662942,24,5500,16009,BROWN RD & MESA DR,Mesa,1,2,1,No,2,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7420/16309947698_ec0bffc016_o.jpg,5514,Westbound,-111.823043272858,33.4356903662942,120
-111.828616690555,33.4350534651122,26,5505,16012,PASADENA & CENTER ST,Mesa,0,1,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm8.staticflickr.com/7355/16311381959_33ae99d308_o.jpg,5519,Westbound,-111.828616690555,33.4350534651122,120
-111.831408161206,33.4345569085719,27,4499,16013,CENTER ST & BROWN ST,Mesa,1,2,1,No,0,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8612/16309952438_da389269f8_o.jpg,4513,Southbound,-111.831408161206,33.4345569085719,120 | BUZZ
-111.831442606617,33.4308594733828,28,4492,16510,CENTER ST & 8TH PL,Mesa,1,1,1,No,2,No,No,Yes,No,No,No,No,Standard,1541147907453,Yes,https://farm9.staticflickr.com/8638/15877535773_5985430864_o.jpg,4506,Southbound,-111.831442606617,33.4308594733828,120 | BUZZ
