X,Y,OBJECTID,NAME,LOCATION,CITY,PUBLIC_OWN,DEDICATED,CONTRACT,TOTAL_AUTO_SPACES,COVERED_SPACES,TOTAL_BIKE_SPACES,BIKE_LOCKERS,BIKE_RACKS,ROUTE_1,ROUTE_2,ROUTE_3,ROUTE_4,ROUTE_5,ROUTE_6,ROUTE_7,ROUTE_8,Long,Lat,Address
-112.179775641109,33.6549653400007,1,Foothills Recreation & Aquatic Center,Union Hills Rd & 55th Ave,Glendale,No,No,No,NA,NA,NA,NA,NA,573,575,186,<Null>,<Null>,<Null>,NA,NA,-112.17977564,33.65496534,
-112.186178291347,33.5422225659967,2,Glendale City Lot,59th Ave and Myrtle Ave,Glendale,Yes,No,No,109,0,0,0,0,17,72,514,<Null>,<Null>,<Null>,NA,NA,-112.18617829,33.54222257,
-111.921493261712,33.4654911594289,3,SkySong Park-and-Ride,74th St and McDowell Rd,Scottsdale,No,No,Yes,5,NA,NA,NA,NA,541,112,140,<Null>,<Null>,<Null>,NA,NA,-111.92149326,33.46549116,
-111.8405393697,33.3213508631873,4,Food City Plaza,Arizona Ave and Ray Rd,Chandler,No,No,No,NA,NA,NA,NA,NA,I-17 RAPID,27,35,90,106,<Null>,NA,NA,-111.84053937,33.32135086,
-111.859543343979,33.3346786004828,5,Carl's Jr.,Warner Rd and Alma School Rd,Chandler,No,No,No,NA,NA,NA,NA,NA,56,108,<Null>,<Null>,<Null>,<Null>,NA,NA,-111.85954334,33.3346786,
-112.123521655172,33.5727763702774,6,Metrocenter Transit Center,Mission Ln and Metro Park W,Phoenix,Yes,Yes,No,215,194,8,4,4,17,514,MLHD,68th Street/Camelback Trolley,<Null>,<Null>,NA,NA,-112.12352166,33.57277637,9617 N Metro Parkway East
-111.961973625014,33.3482199384545,7,Costco - Tempe,Priest Dr and Elliot Rd,Tempe,No,No,No,NA,NA,NA,NA,NA,514,68th Street/Camelback Trolley,<Null>,<Null>,<Null>,<Null>,NA,NA,-111.96197363,33.34821994,
-111.912076794621,33.3339849658092,8,Cobblestone Village,Warner Rd and McClintock Dr,Tempe,No,No,No,NA,NA,NA,NA,NA,68th Street/Camelback Trolley,<Null>,<Null>,<Null>,<Null>,<Null>,NA,NA,-111.91207679,33.33398497,
-111.953945641313,33.3365462243135,9,Tempe Sports Complex,Hardy Dr and Warner Rd,Tempe,Yes,No,No,NA,NA,NA,NA,NA,170,Mustang,<Null>,<Null>,<Null>,<Null>,NA,NA,-111.95394564,33.33654622,
-111.92575963485,33.450106712525,10,Food City Plaza,Scottsdale Rd and McKellips Rd,Tempe,No,No,No,NA,NA,NA,NA,NA,30,70,77,SME RAPID,<Null>,<Null>,NA,NA,-111.92575963,33.45010671,
-111.900760558637,33.4662076647966,11,Granite Reef Senior Center Park-and-Ride,Granite Reef Rd and McDowell Rd,Scottsdale,No,No,Yes,3,NA,NA,NA,NA,Light Rail,81,<Null>,<Null>,<Null>,<Null>,NA,NA,-111.90076056,33.46620766,
-111.879420390412,33.5102351609551,12,Scottsdale Community College,Chaparral Rd and 92nd St,Scottsdale,Yes,No,No,NA,NA,NA,NA,NA,Light Rail,19,50,<Null>,<Null>,<Null>,NA,NA,-111.87942039,33.51023516,9000 E Chaparral Road
-111.918055522525,33.4999417844783,13,Miller Plaza,Montecito Ave and Miller Rd,Scottsdale,No,No,No,NA,NA,NA,NA,NA,Light Rail,1,32,<Null>,<Null>,<Null>,NA,NA,-111.91805552,33.49994178,
-111.90196699736,33.6234578388778,14,Costco - Scottsdale,83rd Pl and Butherus Dr,Scottsdale,No,No,No,NA,NA,NA,NA,NA,19,35,77,SMW RAPID,<Null>,<Null>,NA,NA,-111.901967,33.62345784,
-111.908314977433,33.5175587855672,15,Chaparral Park,Hayden Rd and Jackrabbit Rd,Scottsdale,No,No,No,NA,NA,NA,NA,NA,SR 51 RAPID,16,39,80,<Null>,<Null>,NA,NA,-111.90831498,33.51755879,
-111.722590946865,33.6023917571322,16,Fountain Hills Park-and-Ride,12901 N. La Montana Dr,Fountain Hills,Yes,Yes,No,120,0,1,0,1,Grand Ave Limited,106,83,<Null>,<Null>,<Null>,NA,NA,-111.72259095,33.60239176,12901 N. La Montana Dr
-112.338042311077,33.6096386883852,17,El Mirage Walmart,129th Ave & Thunderbird,El Mirage,No,No,Yes,42,0,NA,NA,NA,I-10 East Rapid,ALEX,<Null>,<Null>,<Null>,<Null>,NA,NA,-112.33804231,33.60963869,
-111.907643683709,33.3788335363518,18,Target Shopping Center,McClintock Rd and Baseline Rd,Tempe,No,No,No,NA,NA,NA,NA,NA,SMART,0,8,12,90,106,NA,NA,-111.90764368,33.37883354,
-111.918149548078,33.3935720096057,19,Grace Community Church,Southern Ave and Dorsey Ln,Tempe,No,No,No,NA,NA,NA,NA,NA,Light Rail,30,40,96,<Null>,<Null>,NA,NA,-111.91814955,33.39357201,
-112.100952926225,33.5669254225591,20,Dunlap / 19th Ave Park-and-Ride,19th Ave/Dunlap ,Phoenix,Yes,Yes,No,415,0,16,0,16,531,541,<Null>,<Null>,<Null>,<Null>,NA,NA,-112.10095293,33.56692542,1927 W Dunlap
-112.228667363187,33.4781088472794,21,Desert Sky Park-and-Ride,79th Ave/Thomas Rd,Phoenix,Yes,Yes,No,70,70,11,4,7,40,45,136,<Null>,<Null>,<Null>,NA,NA,-112.22866736,33.47810885,
-112.028998096653,33.379557292347,22,24th St & Baseline Park-and-Ride,24th Street & Baseline Rd,Phoenix,Yes,Yes,No,209,209,8,NA,8,30,70,77,SME RAPID,NA,NA,NA,NA,-112.0289981,33.37955729,
-111.82216457449,33.4156447299162,23,Mesa Dr / Main St Park-and-Ride,Mesa Dr & Main St,Mesa,Yes,Yes,No,448,0,0,0,12,Light Rail,40,120,NA,NA,NA,NA,NA,-111.82216457,33.41564473,440 E Main St
-111.924767762962,33.6105062625741,24,Scottsdale Park-and-Ride,Scottsdale Rd and Thunderbird Rd,Scottsdale,Yes,Yes,No,275,173,5,0,5,72,154,NA,NA,NA,NA,NA,NA,-111.92476776,33.61050626,13665 N Scottsdale Rd
-112.346307123802,33.6379749198996,25,Surprise Park-and-Ride,Grand Ave and Bell Rd,Surprise,Yes,Yes,No,230,216,3,0,3,571,NA,NA,NA,NA,NA,NA,NA,-112.34630712,33.63797492,13327 W Bell Rd
